OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Sarovar College,Tribhuvan University,977-1-4286231,info@orbit.edu.np,http://www.orbit.edu.np/,Kalanki       ,Kathmandu,Bagmati," Sarovar College PO Box: 8974, CPC 471 Amrit Nagar, Kalanki, Kathmandu Nepal","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",http://edusanjal.com/college/sarovar-college,Private,,,,,
Nepal National Education Academy,Tribhuvan University,977-1-4356571,info@nneapt.edu.np,http://www.nneapt.edu.np/,Balaju       ,Kathmandu,Bagmati," Nepal National Education Academy (N-NEA) Banasthali Chowk, Balaju Kathmandu, Nepal P. O. BOX: 8909",Bachelor of Science (B.Sc) in Microbiology,http://edusanjal.com/college/nepal-national-education-academy,Private,,,,,
Asian College of Medical Science and Technology,CTEVT,01-5011232,,,"Kupandole, Jwagal-10       ",Lalitpur,Bagmati,"Kupandole, Jwagal-10  Lalitpur   Bagmati",Certificate in Medical Laboratory Technology (CMLT) ; 30;,http://edusanjal.com/college/asian-college-medical-science-and-technology,Private,,,,,
National Academy of Applied Science and Technology (NAAST College),CTEVT,977-25-525651,naast_16@ntc.net.np,http://naastcollege.edu.np/,Dharan       ,Sunsari,Koshi," National Academy of Applied Science and Technology Dharan, Sunsari",Diploma in Food/Dairy Technology ; 48;,http://edusanjal.com/college/national-academy-applied-science-and-technology,Private,,,,,
College of Journalism and Mass Communication,Purbanchal University,"977-1-2070740, 4443849",drmanju@wlink.com.np,http://www.cjmc.edu.np/,Tinkune       ,Kathmandu,Bagmati," College of Journalism and Mass Communication Subidhanagar, Tinkune Kathmandu, Nepal PO Box: 23498","Bachelor in Mass Communication and Journalism,MA in Mass Communication and Journalism,Master in Development Studies",http://edusanjal.com/college/college-journalism-and-mass-communication,Private,,,,,
Peoples Multiple Health Institute,CTEVT,977-025-580009,,,Itahari       ,Sunsari,Koshi,Itahari  Sunsari   Koshi,PCL Nursing ; 40; ; 396360;,http://edusanjal.com/college/peoples-multiple-health-institute,Private,,,,,
Madan Bhandari Memorial Academy,CTEVT,977-21-540023 541712 541713 694983,info@mbman.org.np,http://www.mbman.org.np/,Urlabari-6       ,Jhapa,Mechi," Madan Bhandari Memorial AcademyDamak-8, Tarabari, Jhapa","Diploma in Agriculture ; 40;,Health Assistant (HA) ; 40; ; 346923;,PCL Nursing ; 40; ; 396360;,TSLC in Community Medicine Assistant-CMA ; 40;,Auxiliary Nurse Midwife (ANM) ; 40;,Veterinary JTA ; 40;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;",http://edusanjal.com/college/madan-bhandari-memorial-academy,Private,,,,,
Nepal Institute of Medical Science and Technology (NIMST),CTEVT,"01-5204277, 5204278",nimstcollege@gmail.com,,Gwarko       ,Lalitpur,Bagmati, Nepal Institute of Medical Science and Technology Gwarko Lalitpur,"Certificate in Medical Laboratory Technology (CMLT) ; 30;,Certificate in Diagnostic Radiography ; 30;,PCL Nursing ; 40; ; 396360;,Diploma in Pharmacy ; 40; ; 281656;,Health Assistant (HA) ; 40; ; 346923;",http://edusanjal.com/college/nepal-institute-medical-science-and-technology,Private,,,,,
Iwamura College of Health Science,CTEVT,"977 1 6612696, 6612705",info_college@iwamura.com.np,http://iwamura.com.np/,Sallaghari-7       ,Bhaktapur,Bagmati," Iwamura College of Health Science Sallaghari-7, Bhaktapur","Certificate in Medical Laboratory Technology (CMLT) ; 30;,Certificate in Diagnostic Radiography ; 30;,Health Assistant (HA) ; 40; ; 346923;,PCL Nursing ; 40; ; 396360;,TSLC in Medical Lab Technology (Lab Assistant) ; 40;",http://edusanjal.com/college/iwamura-college-health-science,Private,,,,,
National Multiple College of Medical Science,"CTEVT,Tribhuvan University","977-1-5544367,977-1-5533403",info@nmcms.edu.np,http://nmcms.edu.np/,Satdobato       ,Lalitpur,Bagmati,"National Multiple college of Medical ScienceSatdobato,Lalitpur,Nepal(NMC is located at Satdobato Ward No.15. [Near to Chapagaundobato] in Laltipur,Nepal)","Certificate in Diagnostic Radiography ; 30;,Certificate in Medical Laboratory Technology (CMLT) ; 30;,TSLC in Medical Lab Technology (Lab Assistant) ; 40;",http://edusanjal.com/college/national-multiple-college-medical-science,Private,,,,,
Ullens School,"Cambridge University,International Baccalaureate",977-1-5570724,info@ullens.edu.np,http://ullens.edu.np/,Khumaltar       ,Lalitpur,Bagmati," Ullens School Khumaltar-15, Lalitpur,Nepal","GCE A level Non-Science,GCE A level- Science,International Baccalaureate Diploma Programme-IBDP",http://edusanjal.com/college/ullens-school,Private,,,,,
Novel Academy,"Cambridge University,Purbanchal University",977-61-535629,info@novel.edu.np,http://www.novel.edu.np/,"New road, Pokhara       ",Kaski,Gandaki,"New road, Pokhara  Kaski   Gandaki","GCE A level Non-Science,GCE A level- Science,Bachelor of Pharmacy ; 30;,Post Basic Bachelor in Nursing (PBBN) ; 40;,Bachelor of Business Administration (BBA),Master of Business Administration (MBA)",http://edusanjal.com/college/novel-academy,Private,,,,,
Rupys International School,Cambridge University,"977-1-4272740, 4270630, 4282907",rupyschool@wlink.com.np,http://www.rupys.edu.np/,"Baphal, Tahachal       ",Kathmandu,Bagmati," Rupy's International School Baphal, Kathmandu, Nepal","GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/rupys-international-school,Private,,,,,
Kathmandu School of Law,Purbanchal University,977-1- 6634455,info@ksl.edu.np,http://www.ksl.edu.np/,Dadhikot       ,Bhaktapur,Bagmati,Dadhikot  Bhaktapur   Bagmati,"Bachelor of Laws (BA LLB),Master of Laws,Master in Conflict and International Humanitarian Law,Master Degree in Human Rights",http://edusanjal.com/college/kathmandu-school-law,Private,,,,,
Himalayan College of Agriculture Science and Technology,Purbanchal University,977-1- 4273341,hicast@wlink.com.np,http://www.hicast.edu.np/,"Kalanki, Khasibazar       ",Kathmandu,Bagmati," Himalayan College of Agriculture Science & Technology, Address: Kalanki, Kathmandu P.O.Box: 25535 Nepal","Bachelor of Science(Hons.)in Agriculture,Bachelor of Veterinary Science and Animal Husbandry,M.Sc Dairy Technology,M.Sc in Meat Technology",http://edusanjal.com/college/himalayan-college-agriculture-science-and-technology,Private,,,,,
National Infotech College,"Purbanchal University,Tribhuvan University","977-51-530800, 690490",info@nationalinfotech.edu.np,http://www.nationalinfotech.edu.np/,"Shreepur, Birgunj       ",Parsa,Narayani," National Infotech HSS and College Shreepur, Birgunj, Nepal","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Computer Application (BCA)",http://edusanjal.com/college/national-infotech-higher-secondary-school-and-college,Private,,,,,
Southwestern State College,"Cambridge University,Tribhuvan University","977-1-4355457, 4355458",info@southwestern.edu.np,http://www.southwestern.edu.np/,Basundhara       ,Kathmandu,Bagmati," Southwestern State College Post Box: 8975 EPC 5343 Basundhara, Ring Road, Kathmandu, Nepal","Master of Business Studies (MBS),Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Master of Arts (MA) in English,GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/southwestern-state-college,Private,,,,,
Himalayan College of Geomatic Engineering and Land Resource Management,Purbanchal University,977-1-4430879,info@surveycollegenepal.edu.np,http://www.surveycollegenepal.edu.np/,Minbhawan       ,Kathmandu,Bagmati," Himalayan College of Geomatic Engineering and Land Resource Management Umakunda,Mitrapark, Kathmandu, Nepal",BE in Geomatic and Land Resources Management,http://edusanjal.com/college/himalayan-college-geomatic-engineering-and-land-resource-management,Private,,,,,
Dharan College of Management,Purbanchal University,977-25- 525441,,,Dharan       ,Sunsari,Koshi," Dharan College of Management, Dharan, Sunsari",Bachelor of Business Administration (BBA),http://edusanjal.com/college/dharan-college-management,Private,,,,,
Bright Vision College,Tribhuvan University,"977-1-555864, 5524066, 5526776",info@bvc.edu.np,http://www.bvc.edu.np/,"Satdobato, Tutepani       ",Lalitpur,Bagmati," Bright Vision College Tutepani, Satdobato Ring Road Side to Chapagaun","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),BA Journalism and Mass Communication",http://edusanjal.com/college/bright-vision-college,Private,,,,,
Annapurna Multiple Campus,Purbanchal University,977-31- 560020,,,        ,Saptari,Sagarmatha,Saptari  Saptari   Sagarmatha,Bachelor of Commerce Studies,http://edusanjal.com/college/annapurna-multiple-campus,Private,,,,,
National Multiple College Dharan,Purbanchal University,977-25- 520130 523262,,,Dharan       ,Sunsari,Koshi,Dharan  Sunsari   Koshi,Bachelor of Commerce Studies,http://edusanjal.com/college/national-multiple-college-dharan,Private,,,,,
Royal Softech College,Purbanchal University,977-33- 560097,,,        ,Siraha,Sagarmatha," Royal Softech College Lahan, Siraha",Bachelor of Commerce Studies,http://edusanjal.com/college/royal-softech-college,Private,,,,,
Karfok Bidya Mandir Multiple Campus,Purbanchal University,977-27- 555091,,,        ,Ilam,Mechi,Ilam  Ilam   Mechi,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Bachelor of Arts-BA",http://edusanjal.com/college/karfok-bidya-mandir-multiple-campus,Private,,,,,
Kasthamandap School of Public Affair Management,Purbanchal University,977-1-4481103,nfo@kaspam.edu.np,http://www.kaspam.edu.np/,New Baneshwor       ,Kathmandu,Bagmati, Kasthamandap School of Public Affair Management (KASPAM)New Baneshowor Kahmandu.,Master of Public Administration-MPA,http://edusanjal.com/college/kasthamandap-school-public-affair-management,Private,,,,,
Lumbini Adarsh Degree College,Purbanchal University,977-78- 540405,,,kawasoti-5       ,Nawalparasi,Lumbini,kawasoti-5  Nawalparasi   Lumbini,Bachelor of Commerce Studies,http://edusanjal.com/college/lumbini-adarsh-degree-college,Private,,,,,
Kasturi College,Purbanchal University,"977-25- 583563, 025-580550",kasturicollege@yahoo.com,,        ,Sunsari,Koshi,Sunsari  Sunsari   Koshi,"Bachelor of Business Administration (BBA),Bachelor of Commerce Studies",http://edusanjal.com/college/kasturi-college,Private,,,,,
Presidency College of Management Sciences,Purbanchal University,+977-56-524278 (BBA) +977-56-525717 (10+2),info@pcms.edu.np,http://www.pcms.edu.np/,Bharatpur-10       ,Chitwan,Narayani," Presidency College of Management Sciences, Bharatpur, Chitwan","Bachelor of Business Administration (BBA),Master of Business Administration (MBA)",http://edusanjal.com/college/presidency-college-management-sciences,Private,,,,,
Everest College Lahan,Purbanchal University,977-33-560810,,,Lahan       ,Siraha,Sagarmatha," Everest College, Lahan, Siraha",Bachelor of Commerce Studies,http://edusanjal.com/college/everest-college-lahan,Private,,,,,
South Asian School of Tourism and Hotel Management,Purbanchal University,977-21- 524229,info@sasthm.edu.np,http://www.sasthm.edu.np/,"Malaya Road, Biratnagar       ",Morang,Koshi," South Asian School of Tourism & Hotel Management, Malaya Road, Biratnagar-18 Nepal","Bachelor of Hotel Management (BHM),Bachelor of Business Administration (BBA)",http://edusanjal.com/college/south-asian-school-tourism-and-hotel-management,Private,,,,,
Management Campus,Purbanchal University,977-21-534027,mgcampus@wlink.com.np,,Biratnagar       ,Morang,Koshi," Management Campus, Tinpaini Biratnagar","Bachelor of Business Administration (BBA),Master of Business Administration (MBA)",http://edusanjal.com/college/management-campus,Private,,,,,
Shepherd College,Purbanchal University,"977-1-4480672, 9841206167",info@shepherd.edu.np,http://www.shepherd.edu.np/,Kalopul       ,Kathmandu,Bagmati," Shepherd College 831, Kalopul, Kathmandu","Bachelor in Media Technology,Masters in Media Technology (MMT),Diploma in Broadcasting Journalism",http://edusanjal.com/college/shepherd-college,Private,,,,,
Asian College of Management and Technology,Purbanchal University,"977-1-4107199, 4109181",info@acmt.edu.np,http://www.acmt.edu.np/,Min Bhawan       ,Kathmandu,Bagmati," Asian College of Management and Technology (ACMT) Min Bhawan, New Baneshwor, Kathmandu",Bachelor of Business Administration (BBA),http://edusanjal.com/college/asian-college-management-and-technology,Private,,,,,
Shreenagar Integrated College,Purbanchal University,"977-075-520739, 075-521123",sicol_tansen@yahoo.com,,"Holangdi, Tansen, Buddha Bihar       ",Palpa,Lumbini,"Holangdi, Tansen, Buddha Bihar  Palpa   Lumbini",Bachelor of Business Administration (BBA),http://edusanjal.com/college/shreenagar-integrated-college,Private,,,,,
Unique College,Tribhuvan University,977-23- 582150,lekhnathsedai@yahoo.com,,Damak-13       ,Jhapa,Mechi,Damak-13  Jhapa   Mechi,Bachelor of Business Studies (BBS),http://edusanjal.com/college/unique-college,Private,,,,,
Classic College International,Tribhuvan University,"977-1-6225708, 4110135, 4110433",classicic@wlink.com.np,http://www.classiccollege.edu.np/,"Tinganga,         ",Kathmandu,Bagmati," Classic College International Pingla Marg, Opposite Tilganga Eye Hospital Kathmandu-9","Bachelor of Social Works (BSW),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/classic-college-international,Private,,,,,
All Nepal Institute of Medical Sciences,CTEVT,"977-1-4811999, 4811030",,,Chabhil       ,Kathmandu,Bagmati," All Nepal Institute of Medical Sciences Saraswotinagar- 6, Chabhil, Kathmandu (Opposite of Bima Samiti)","Diploma in Pharmacy ; 40; ; 281656;,Health Assistant (HA) ; 40; ; 346923;,Certificate in Medical Laboratory Technology (CMLT)",http://edusanjal.com/college/all-nepal-institute-medical-sciences,Private,,,,,
Milton International College,Tribhuvan University,"977-1-4472385, 4474114",info@milton.edu.np,http://www.milton.edu.np/,"New Baneshwor, Thapagaun       ",Kathmandu,Bagmati," Milton International College New Baneshwor, Thapagaun, Kathmandu","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Social Works (BSW)",http://edusanjal.com/college/milton-international-college,Private,,,,,
Bajra International College,Tribhuvan University,"977-1-2190269, 4491415",bajra@enet.com,,Jorpati       ,Kathmandu,Bagmati," For Tribhuvan University Program Bajra International College PO Box: 21726, Boudha, Jorpati, Kathmandu (Bajra Building) For HSEB Program Saraswati Higher Secondary School Under the Management of BIC Jorpati Kathmandu","Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/bajra-international-college,Private,,,,,
Orchid International College,Tribhuvan University,"01-4479744, 4479745",info@oic.edu.np,http://oic.edu.np/,"Bijaya Chowk, Behind Maiti Nepal       ",Kathmandu,Bagmati," Orchid International College Sinamangal-09, Kathmandu","Bachelor of Information Management (BIM) ; 64;,B.Sc. Computer Science And Information Technology (B.SC. CSIT)",http://edusanjal.com/college/orchid-international-college,Private,,,,,
Global Academy of Tourism and Hospitality Education (GATE),Swiss School of Tourism and Hospitality,"977-1-4376048, 4650176",info@gate.edu.np,http://www.gate.edu.np/,Mandikhatar       ,Kathmandu,Bagmati," GATE- Global Academy of Tourism & Hospitality Education Mahankal - 9, Mandikhatar Po.Box: 9562 Kathmandu, Nepal","Bachelors Degree in Hotel and Tourism Management,Diploma in Culinary Arts,Higher Diploma In Hotel and Restaurant Management",http://edusanjal.com/college/global-academy-tourism-and-hospitality-education,Private,,,,,
Everest College of Nursing,Purbanchal University,"977-1-4117560, 4117561",info@everestcollegeofnursing.edu.np,http://www.everestcollegeofnursing.edu.np/,"Tinkune, Subidhanagar       ",Kathmandu,Bagmati," Everest College of Nursing (ECON) Tinkune, Subidhanagar, Kathmandu Near VS. Niketan College","Post Basic Bachelor in Nursing (PBBN),Bachelor of Science (B.Sc) in Nursing ; 20;",http://edusanjal.com/college/everest-college-nursing,Private,,,,,
NAMS College,"CTEVT,Purbanchal University","977-1-4466465, 4469017",info@nams.com.np,http://www.nams.com.np/,Old Baneshwor       ,Kathmandu,Bagmati,Old Baneshwor  Kathmandu   Bagmati,"Health Assistant (HA) ; 40; ; 346923;,Diploma in Pharmacy ; 40; ; 281656;,Bachelor of Public Health (BPH) ; 40;,Bachelor of Science (B.Sc) in Nursing ; 20;",http://edusanjal.com/college/nams-college,Private,,,,,
Central Engineering Campus,CTEVT,977-1-5202414,info@centralengeeringcampus.edu.np,http://www.centralengineeringcampus.edu.np/,"Balkumari, Imadole       ",Lalitpur,Bagmati," Central Engineering Campus Balkumari, Lalitpur","Diploma in Civil Engineering ; 48;,Diploma in Electrical Engineering ; 48;",http://edusanjal.com/college/central-engineering-campus,Private,,,,,
Holy Vision Technical Campus,CTEVT,"01-4783874, 4781662",hvtcampus@gmail.com,http://www.holyvisioncampus.edu.np/,"Thapa Gaun, New Baneshwor       ",Kathmandu,Bagmati,"Thapa Gaun, New Baneshwor  Kathmandu   Bagmati","Health Assistant (HA) ; 40; ; 346923;,Diploma in Pharmacy ; 40; ; 281656;,PCL Nursing ; 40; ; 396360;",http://edusanjal.com/college/holy-vision-technical-campus,Private,,,,,
Shree Medical and Technical College,"CTEVT,Purbanchal University","977-56-527897, 527897",smtcnepal@yahoo.com,http://shreemedical.edu.np/,Bharatpur       ,Chitwan,Narayani," Shree Medical and Technical College Bharatpur-12, Gondrang, Hamro Chowk, Chitwan, Nepal","PCL Nursing ; 40;,Certificate in Medical Laboratory Technology (CMLT) ; 30;,Bachelor of Pharmacy ; 30;,Bachelor of Public Health (BPH) ; 40;,Bachelor of Science (B.Sc) in Nursing ; 20;,Post Basic Bachelor in Nursing (PBBN) ; 40;",http://edusanjal.com/college/shree-medical-and-technical-college,Private,,,,,
Times Business School,Purbanchal University,"977-1-4418019, 2040783",,http://www.timesbs.com/,Putalisadak       ,Kathmandu,Bagmati," Times Business School Kathmandu-32, Putalisadak Height Lalupate Marg",Bachelor of Business Administration (BBA),http://edusanjal.com/college/times-business-school,Private,,,,,
Academy of Culinary Arts and Hospitality Management,"Culinary Solutions Australia International,Lincoln University College ","977-1-5522909, 5536988",info@culinaryarts.com.np,http://www.culinaryarts.com.np/,Lagankhel       ,Lalitpur,Bagmati," Academy of Culinary Arts & Hospitality Management Lagankhel, Lalitpur,Nepal P.O.Box no: 26378","Diploma in Culinary Arts,Bachelor of Science (Hons.) in Hospitality Management",http://edusanjal.com/college/academy-culinary-arts-and-hospitality-management,Private,,,,,
Aryan School of Engineering,Purbanchal University,"977-1-4485146,4485148, 2104223",info@thearyanschool.edu.np,http://www.thearyanschool.edu.np/engineering,Baneshwor       ,Kathmandu,Bagmati," Aryan School of Engineering Devkota Sadak, Mid Baneshwor, Kathmandu, Nepal","Bachelor of Information Technology (BIT),Bachelor of Civil Engineering ; 96;,Bachelor of Computer Application (BCA)",http://edusanjal.com/college/aryan-school-engineering,Private,,,,,
Asian College of Higher Studies,Tribhuvan University,"977-1-5000266, 5000156",info@acm.edu.np,http://www.acm.edu.np/,Ekantakuna       ,Lalitpur,Bagmati," Asian College of Higher Studies Ekantakuna, Jwalakhel, Lalitpur",Bachelor of Business Studies (BBS),http://edusanjal.com/college/asian-college-higher-studies,Private,,,,,
Kamana International College,Tribhuvan University,977-1-4880422,info@kic.edu.np,http://www.kic.edu.np/,Banasthali       ,Kathmandu,Bagmati,Banasthali  Kathmandu   Bagmati,"Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",http://edusanjal.com/college/kamana-international-college,Private,,,,,
Dhaulagiri Prabidhik Shikshya Pratisthan,CTEVT,977-68-522522,info@dpsp.edu.np,http://www.dpsp.edu.np/,        ,Baglung,Dhawalagiri,Baglung  Baglung   Dhawalagiri,"PCL Nursing ; 40;,Health Assistant (HA) ; 40;,Certificate in Medical Laboratory Technology (CMLT) ; 30;",http://edusanjal.com/college/dhaulagiri-prabidhik-shikshya-pratisthan,Private,,,,,
Shankarapur Hospital and Academy,CTEVT,"977-1-4911045, 4910598",info@shrc.org.np,http://www.shrc.org.np/,Jorpati       ,Kathmandu,Bagmati," Shankarapur Hospital and Academy Jorpati-04, Narayantar","Certificate in Medical Laboratory Technology (CMLT) ; 30;,PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;",http://edusanjal.com/college/shankarapur-hospital-and-academy,Private,,,,,
Nepalaya College,Tribhuvan University,"4273159, 4275203",,,kalanki       ,Kathmandu,Bagmati," Nepalaya College/Henry Ford International College Kalanki, Kalankisthan, Kathmandu, Nepal","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/nepalaya-college,Private,,,,,
Norvic Institute of Nursing Education,"CTEVT,Purbanchal University","977-1-4375677, 371641",info@norviceducations.com,http://norviceducations.com/,Maharajgunj       ,Kathmandu,Bagmati," Norvic Institute of Nursing Education Maharajgunj, Kathmandu P.O. Box: 14126","PCL Nursing ; 40; ; 396360;,Post Basic Bachelor in Nursing (PBBN) ; 40;,Bachelor of Science (B.Sc) in Nursing ; 20;",http://edusanjal.com/college/norvic-institute-nursing-education,Private,,,,,
Valley College of Technical Sciences,Purbanchal University,01-4033127,info@valleycollege.edu.np,http://www.valleycollege.edu.np/,Sitapaila-2       ,Kathmandu,Bagmati," Valley College of Technical Sciences Sitapaila, Kathmandu","Bachelor of Pharmacy ; 30;,Bachelor of Public Health (BPH) ; 40;",http://edusanjal.com/college/valley-college-technical-sciences,Private,,,,,
Unique college of Medical Science,"CTEVT,Purbanchal University","977-31-520531, 520662",info@uea.edu.np,http://uea.edu.np/,Rajbiraj-7       ,Saptari,Sagarmatha," Unique Educational Academy Rajbiraj-7, Saptari","Certificate in Medical Laboratory Technology (CMLT) ; 30;,PCL Nursing ; 40; ; 396360;,Diploma in Pharmacy ; 40; ; 281656;,Health Assistant (HA) ; 40; ; 346923;,Bachelor of Public Health (BPH),Post Basic Bachelor in Nursing (PBBN),TSLC in Community Medicine Assistant-CMA,Auxiliary Nurse Midwife (ANM)",http://edusanjal.com/college/unique-college-medical-science,Private,,,,,
KITS College of Science and Management,Tribhuvan University,"977-1-4221875, 4251409",info@kits.edu.np,http://www.kits.edu.np/,Teku       ,Kathmandu,Bagmati," KITS College of Science and Management Kamaladi Ganeshsthan, Kathmandu","Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) in Environmental Science",http://edusanjal.com/college/kits-college-of-science-and-management,Private,,,,,
Bright Future College,Tribhuvan University,"977-1-5534319, 5521997",nrajpaneru@hotmail.com,http://bfc.edu.np/,Satdobato       ,Lalitpur,Bagmati," Bright Future College Satdobato-15, Lalitpur","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/bright-future-college,Private,,,,,
Himalaya College,Tribhuvan University,"977-1-4600518, 4600320",,,Koteshwor       ,Kathmandu,Bagmati," Himalaya College Koteshwor-35, Kathmandu","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Social Works (BSW),Master of Business Studies (MBS)",http://edusanjal.com/college/himalaya-college,Private,,,,,
Gandaki Medical College,Tribhuvan University,"977-61-207130 ,538595",office@gmc.edu.np,http://www.gmc.edu.np/,"Lekhanath-2, Pokhara       ",Kaski,Gandaki," Gandaki Medical College Teaching Hospital & Reseach Centre Pvt.Ltd. (Charak Hospital) Sanchayakosh Vawan, Naya bazaar, Pokhara, Nepal","Bachelor of Medicine, Bachelor of Surgery (MBBS) ; 75; ; 3660250;",http://edusanjal.com/college/gandaki-medical-college,Private,,,,,
Nagarik College of Health Sciences,Purbanchal University,977-1-4154076,nagrikhospital@hotmail.com,http://nagarikhospital.com/,Koteshwor       ,Kathmandu,Bagmati, Nagarik College of Health Sciences Mahadevsthan Koteshwor-35 Kathmandu,"Post Basic Bachelor in Nursing (PBBN) ; 40;,Bachelor of Science (B.Sc) in Nursing ; 15;",http://edusanjal.com/college/nagarik-college-health-sciences,Private,,,,,
Kathmandu College of Management (KCM),"SIAM University, Thailand","977-1-5201997,5200746",kcm@kcm.edu.np,http://www.kcm.edu.np/,Gwarko       ,Lalitpur,Bagmati," Kathmandu College of Management Gwarko, Lalitpur,Nepal","BBA Finance and Banking,BBA Marketing",http://edusanjal.com/college/kathmandu-college-management,Private,,,,,
Modern Technical College,Pokhara University,977-1-5555630,mtechcollege@gmail.com,,Sanepa       ,Lalitpur,Bagmati," Modern Technical College Sanepa, Lalitpur",Bachelor of Science in Medical Laboratory Technology (B.Sc MLT) ; 30;,http://edusanjal.com/college/modern-technical-college,Private,,,,,
Mayadevi Technical College,"CTEVT,Purbanchal University","977-71-450012,450232",info@mayadevi.edu.np,http://mayadevi.edu.np/,"Mayadevi Chowk, Butwal       ",Rupandehi,Lumbini," MAYADEVI TECHNICAL College Nursing and Pharmacy College Butwal-14, Mayadevi Chowk (Dhawahe), Rupandehi Post Box Number: 63","PCL Nursing ; 40; ; 396360;,Diploma in Pharmacy ; 40; ; 281656;,Health Assistant (HA) ; 40; ; 346923;,Post Basic Bachelor in Nursing (PBBN) ; 40;",http://edusanjal.com/college/mayadevi-technical-college,Private,,,,,
Nepal Polytechnic Institute,"CTEVT,Purbanchal University",977-56-524161,info@npibharatpur.org.np,http://www.npibharatpur.org.np/,Bharatpur       ,Chitwan,Narayani," Nepal Polytechnic Institute Address-01, Chitwan, Nepal","Diploma in Civil Engineering ; 48;,Certificate in Medical Laboratory Technology (CMLT) ; 30;,Diploma in Agriculture ; 40;,Diploma in Computer Engineering ; 48;,Diploma in Electronics Engineering ; 48;,Diploma in Electrical Engineering ; 48;,Health Assistant (HA) ; 40; ; 346923;,Bachelor of Civil Engineering ; 48;,Bachelor of Electrical Engineering ; 48;,Post Basic Bachelor in Nursing (PBBN) ; 40;,Bachelor of Veterinary Science and Animal Husbandry,Bachelor of Science(Hons.)in Agriculture,TSLC in Community Medicine Assistant-CMA ; 40;,TSLC in Medical Lab Technology (Lab Assistant) ; 40;,Auxiliary Nurse Midwife (ANM) ; 40;,TSLC in Survey Engineering (AMIN) ; 40;,Veterinary JTA ; 40;",http://edusanjal.com/college/nepal-polytechnic-institute,Private,,,,,
Janapriya Multiple Campus,Tribhuvan University,"977-61-522287, 531822, 535287",info@janapriya.edu.np,http://www.janapriya.edu.np/,"Pokhara,         ",Kaski,Gandaki,"Pokhara, Kaski  Kaski   Gandaki","Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS),Master of Arts (MA) in English,Bachelor of Science (B.Sc) in Environmental Science,Bachelor of Science (B.Sc) in Microbiology,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/janapriya-multiple-campus,Private,,,,,
Management Development Campus,Purbanchal University,"9771--4224475, 4240475",man@man.org.np,http://www.man.org.np/,Anamnagar       ,Kathmandu,Bagmati," Management Development Campus (MDC) Anamnagar, Kathmandu",Executive MBA,http://edusanjal.com/college/management-development-campus,Private,,,,,
Asian International College,,aic.college@gmail.com,aic.college@gmail.com,http://aincollege.com/,Kirtipur       ,Kathmandu,Bagmati," Asian International College Kirtipur, Nayabazar Kathmandu",Bachelor of Business Studies (BBS),http://edusanjal.com/college/asian-international-college,Private,,,,,
United Technical College,Pokhara University,977-56-254161,unitedtechnicalcollege@gmail.com,http://unitedtechnicalcollege.edu.np/,Bharatpur       ,Chitwan,Narayani," United Technical College Bharatpur-11, Bhojad, Chitwan.","Bachelor of Electrical and Electronics Engineering ; 48;,Bachelor of Civil Engineering ; 96;",http://edusanjal.com/college/united-technical-college,Private,,,,,
Saptarishi Multiple College,Purbanchal University,977-31-520725,,,Rajbiraj       ,Saptari,Sagarmatha,Rajbiraj  Saptari   Sagarmatha,"Bachelor of Business Administration (BBA),Bachelor of Public Health (BPH) ; 40;",http://edusanjal.com/college/saptarishi-multiple-college,Private,,,,,
National Institute of Neurological and Allied Sciences,Kathmandu University,977-1- 4373850,national@neuro.org.np,http://neuro.org.np/,Bansbari       ,Kathmandu,Bagmati," National Institute of Neurological and Allied Sciences Bansbari, Kathmandu Fax: 01- 4370779 P.O. Box No. 3711",M.CH Neurosurgery,http://edusanjal.com/college/national-institute-neurological-and-allied-sciences,Private,,,,,
