OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Suryodaya Higher Secondary School Lamjung,HSEB,066-620370,,,"Janamilan Bharte,         ",Lamjung,Gandaki,"Janamilan Bharte, Lamjung  Lamjung   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/suryodaya-higher-secondary-school-lamjung,Public,,,,,
Bhairav Kali Higher Secondary School,HSEB,9841234158,,,"Duipiple, Lamajung       ",Lamjung,Gandaki,"Duipiple, Lamajung  Lamjung   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/bhairav-kali-higher-secondary-school,Public,,,,,
Buddhodaya Higher Secondary School Lamjung,HSEB,9806525733,,,"Gilang Chisapani,         ",Lamjung,Gandaki,"Gilang Chisapani, Lamjung  Lamjung   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/buddhodaya-higher-secondary-school,Public,,,,,
Ganesh Malika Higher Secondary School,HSEB,,,,"Thanasing, Lamajung       ",Lamjung,Gandaki,"Thanasing, Lamajung  Lamjung   Gandaki",,,,http://edusanjal.com/college/ganesh-malika-higher-secondary-school,Public,,,,,
Gyanodaya Higher Secondary School Lamjung,HSEB,,,,"Sahilitar,         ",Lamjung,Gandaki,"Sahilitar, Lamjung  Lamjung   Gandaki","Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/gyanodaya-higher-secondary-school-lamjung,Public,,,,,
Chandrodaya Higher Secondary School Lamjung,HSEB,066-529318,,,"Bahundanda,         ",Lamjung,Gandaki,"Bahundanda, Lamjung  Lamjung   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/chandrodaya-higher-secondary-school-lamjung,Public,,,,,
Earthly Paradise Boarding Higher Secondary School,HSEB,066-520245,,,"Besishahar,         ",Lamjung,Gandaki,"Besishahar, Lamjung  Lamjung   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/earthly-paradise-boarding-higher-secondary-school,Public,,,,,
Future Star English Awasiya Higher Secondary School,HSEB,061-693239,,,"Bhotewodar,         ",Lamjung,Gandaki,"Bhotewodar, Lamjung  Lamjung   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/future-star-english-awasiya-higher-school,Public,,,,,
Notre Dame Higher Secondary School,HSEB,20127,,,"Bandipur, Tanahun       ",Tanahu,Gandaki,"Bandipur, Tanahun  Tanahu   Gandaki",,,,http://edusanjal.com/college/notre-dame-higher-secondary-school,Public,,,,,
Tribhuvan Higher Secondary School Tanahun,HSEB,64-420698,,,"Manechouka, Tanahun       ",Tanahu,Gandaki,"Manechouka, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/tribhuvan-higher-secondary-school-tanahun,Public,,,,,
Parashar Higher Secondary School,HSEB,60015,,,"Vyas, Damauli       ",Tanahu,Gandaki,"Vyas, Damauli  Tanahu   Gandaki","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/parashar-higher-secondary-school,Public,,,,,
Jana Jyoti Higher Secondary School Tanahun,HSEB,065-572185,,,Bhimad-1       ,Tanahu,Gandaki,Bhimad-1  Tanahu   Gandaki,"Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/jana-jyoti-higher-secondary-school,Public,,,,,
Siddhartha Higher Secondary School Tanahun,HSEB,29329,,,"Kihun 2, Tanahun       ",Tanahu,Gandaki,"Kihun 2, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Humanities",,http://edusanjal.com/college/siddhartha-higher-secondary-school-tanahun,Public,,,,,
Mahendra Jyoti Higher Secondary School Tanahun,HSEB,,,,"Sisaghat, Tanahun       ",Tanahu,Gandaki,"Sisaghat, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/mahendra-jyoti-higher-secondary-school-tanahun,Public,,,,,
Homraj Lohani Sharada Sikshya Sadan Higher Secondary School,HSEB,9846067383,,,"Bhanu-6, Nareshwartar       ",Tanahu,Gandaki,"Bhanu-6, Nareshwartar  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/homraj-lohani-sharada-sikshya-sadan-secondaryschool,Public,,,,,
Janabikash Higher Secondary School Lamjung,HSEB,9846099524,,,"Chandidanda,         ",Lamjung,Gandaki,"Chandidanda, Lamjung  Lamjung   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/janabikash-higher-secondary-school-lamjung,Public,,,,,
Ram Shah Higher Secondary School,HSEB,065-540084,,,Aanbukhaireni-6       ,Tanahu,Gandaki,Aanbukhaireni-6  Tanahu   Gandaki,"Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/ram-shah-higher-secondary-school,Public,,,,,
Kalika Higher Secondary School Tanahun,HSEB,65-529312,,,"Purkot, Tanahun       ",Tanahu,Gandaki,"Purkot, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/kalika-higher-secondary-school-tanahun,Public,,,,,
Bright Future Higher Secondary School,HSEB,065-570507,,,"Suklagandaki-5, Belchautara       ",Tanahu,Gandaki,"Suklagandaki-5, Belchautara  Tanahu   Gandaki","Ten Plus Two Science,Ten Plus Two Management","Ten Plus Two Science,Ten Plus Two Management",,http://edusanjal.com/college/bright-future-higher-secondary-school,Public,,,,,
Gaun Farkodaya Higher Secondary School,HSEB,570453,,,"Dhorfirdi, Tanahun       ",Tanahu,Gandaki,"Dhorfirdi, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/gaun-farkodaya-higher-secondary-school,Public,,,,,
Chandrawati Higher Secondary School Tanahu,HSEB,061-622224,,,"Basantapur, Tanahun       ",Tanahu,Gandaki,"Basantapur, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/chandrawati-higher-secondary-school,Public,,,,,
Barahi Awasiya Uchcha Madhyamik Bidyalaya,HSEB,065-561777,,,"Vyas-10, Damauli       ",Tanahu,Gandaki,"Vyas-10, Damauli  Tanahu   Gandaki","Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/barahi-awasiya-uchcha-madhyamik-bidyalaya,Public,,,,,
Pabitra Higher Secondary School,"CTEVT,HSEB",977-65-580149,,,"Bandipur, Piplebazar       ",Tanahu,Gandaki,"Bandipur, Piplebazar  Tanahu   Gandaki","Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;","Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;,http://edusanjal.com/college/pabitra-higher-secondary-school,Public,,,,,
Damauli Higher Secondary School,HSEB,60580,,,"Damauli, Tanahun       ",Tanahu,Gandaki,"Damauli, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/damauli-higher-secondary-school,Public,,,,,
Satyawati Higher Secondary School Tanahun,HSEB,065-560001,,,"Vyas-2, Damauli       ",Tanahu,Gandaki,"Vyas-2, Damauli  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus two in Computer Engineering","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities",Ten Plus two in Computer Engineering,http://edusanjal.com/college/satyawati-higher-secondary-school-tanahun,Public,,,,,
"Nirmal Higher Secondary School, Tanahun",HSEB,065-560039 / 9846455535,info@nirmal.edu.np,http://nirmal.edu.np/,"Vyas-1, Damauli       ",Tanahu,Gandaki,"Vyas-1, Damauli  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/nirmal-higher-secondary-school,Public,,,,,
Himalaya Higher Secondary School Tanahun,HSEB,065-692560,,,"Bhanumati 9, Tanahun       ",Tanahu,Gandaki,"Bhanumati 9, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/himalaya-higher-secondary-school-tanahun,Public,,,,,
Keshabtar Higher Secondary School,HSEB,065-620275,,,"Keshabatar, Tanahun       ",Tanahu,Gandaki,"Keshabatar, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/keshabtar-higher-secondary-school,Public,,,,,
Khaireni Higher Secondary School,HSEB,065-570239,Khairenisss239@gmail.com,,"Khairenitar, Tanahun       ",Tanahu,Gandaki,"Khairenitar, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/khaireni-higher-secondary-school,Public,,,,,
Suryodaya English Boarding Higher Secondary School,HSEB,065-570479,suryodaya2041@gmail.com,,"Suklagandaki-10, Khairenitar       ",Tanahu,Gandaki,"Suklagandaki-10, Khairenitar  Tanahu   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/suryadaya-english-boarding-higher-secondary-school,Public,,,,,
Saraswati Mandir Higher Secondary School,HSEB,9846062698,,,"Ghalechhap, Tanahun       ",Tanahu,Gandaki,"Ghalechhap, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/saraswati-mandir-higher-secondary-school,Public,,,,,
Hansa Bahini Higher Secondary School,HSEB,,,,"Eaklekhet, Tanahun       ",Tanahu,Gandaki,"Eaklekhet, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/hansa-bahini-higher-secondary-school,Public,,,,,
Mitrata Higher Secondary School,HSEB,065-5402035,,,"Aanbookhaireni-1, Satrasaya       ",Tanahu,Gandaki,"Aanbookhaireni-1, Satrasaya  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/mitrata-higher-secondary-school,Public,,,,,
Adharbhut Higher Secondary School,HSEB,065-690832,,,"Raipur Sankhe, Tanahun       ",Tanahu,Gandaki,"Raipur Sankhe, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/adharbhut-higher-secondary-school,Public,,,,,
Bidya Nikung Higher Secondary School,HSEB,9846055195,,,"Jyamuruk Bayapani, Tanahun       ",Tanahu,Gandaki,"Jyamuruk Bayapani, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/bidya-nikung-higher-secondary-school,Public,,,,,
Bal Bikash Higher Secondary School,HSEB,,,,"Bhirkot , Tanahun       ",Tanahu,Gandaki,"Bhirkot , Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/bal-bikash-higher-secondary-school,Public,,,,,
Bhanu Higher Secondary School Tanahun,HSEB,065-520112,,,"Bandipur-3, Bandipur Bazar       ",Tanahu,Gandaki,"Bandipur-3, Bandipur Bazar  Tanahu   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/bhanu-higher-secondary-school-tanahun,Public,,,,,
Kyamin Higher Secondary School,HSEB,,,,"Kyamin, Tanahun       ",Tanahu,Gandaki,"Kyamin, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/kyamin-higher-secondary-school,Public,,,,,
Panchamunidev Higher Secondary School,HSEB,065-570184,,,"Suklagandaki-3, Dulegaunda       ",Tanahu,Gandaki,"Suklagandaki-3, Dulegaunda  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/panchamunidev-higher-secondary-school,Public,,,,,
Min Higher Secondary School,HSEB,065-400048,shreemin2021@gmail.com,,"Chhang-3, Tharpu       ",Tanahu,Gandaki,"Chhang-3, Tharpu  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/min-higher-secondary-school,Public,,,,,
Parwati Higher Secondary School,HSEB,056-621226,,,"Kota, Tanahun       ",Tanahu,Gandaki,"Kota, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/parwati-higher-secondary-school,Public,,,,,
Jaldevi Higher Secondary School,HSEB,065-560818,,,"Vyas-1, Bhadgaun       ",Tanahu,Gandaki,"Vyas-1, Bhadgaun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/jaldevi-higher-secondary-school,Public,,,,,
Chandra Jyoti Higher Secondary School,HSEB,065-690706,,,"Ghiring, Tanahun       ",Tanahu,Gandaki,"Ghiring, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/chandra-jyoti-higher-secondary-school,Public,,,,,
Mahendri Higher Secondary School,HSEB,065-693655,,,"Kalesti, Gajaude, Tanahun       ",Tanahu,Gandaki,"Kalesti, Gajaude, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/mahendri-higher-secondary-school,Public,,,,,
Adarsha Shikshya Higher Secondary School,HSEB,065-691154,,,"Baidikhalte, Tanahun       ",Tanahu,Gandaki,"Baidikhalte, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/adarsha-shikshya-higher-secondary-school,Public,,,,,
Shree Krishna Higher Secondary School Tanahun,HSEB,9846083535,,,"Gajarkot, Tanahun       ",Tanahu,Gandaki,"Gajarkot, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/shree-krishna-higher-secondary-school,Public,,,,,
Shree Bal Vidya Mandir (Bvm) Higher Secondary School,HSEB,065-570885,bvmtanahun@gmail.com,,"Suklagandaki-3, Dulegaunda       ",Tanahu,Gandaki,"Suklagandaki-3, Dulegaunda  Tanahu   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/shree-bal-vidya-mandir-bvm-secondary-school,Public,,,,,
Manohar Higher Secondary School Tanahun,HSEB,9741046449,,,"Purkot, Tanahun       ",Tanahu,Gandaki,"Purkot, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/manohar-higher-secondary-school-tanahun,Public,,,,,
Paramananda Sanskrit Gurukulam Higher Secondary School,HSEB,9855058142,,,Devghatdham Tanahun       ,Tanahu,Gandaki,Devghatdham Tanahun  Tanahu   Gandaki,Ten Plus Two Humanities,Ten Plus Two Humanities,,http://edusanjal.com/college/paramananda-sanskrit-gurukulam-higher-secondary-school,Public,,,,,
Araniko English Boarding Higher Secondary School-Tanahu,HSEB,065-570195,,,"Suklagandaki-11, Khairenitar       ",Tanahu,Gandaki,"Suklagandaki-11, Khairenitar  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/araniko-boarding-higher-secondary-school,Public,,,,,
Radha Higher Secondary School,HSEB,065-401055,,,"Jamune-4, Jamune       ",Tanahu,Gandaki,"Jamune-4, Jamune  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/radha-higher-secondary-school,Public,,,,,
Araniko Higher Secondary Boarding School Tanahun,HSEB,065-570724,,,"Suklagandaki-2, Dulegaunda       ",Tanahu,Gandaki,"Suklagandaki-2, Dulegaunda  Tanahu   Gandaki","Ten Plus Two Science,Ten Plus Two Management","Ten Plus Two Science,Ten Plus Two Management",,http://edusanjal.com/college/araniko-higher-secondary-school-tanahun,Public,,,,,
Barahi Higher Secondary School Tanahun,HSEB,065-691575,,,"Pharakchour, Tanahun       ",Tanahu,Gandaki,"Pharakchour, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/barahi-higher-secondary-school-tanahun,Public,,,,,
Shahid Ganga Higher Secondary School,HSEB,9746035195,,,"Kahun Shivpur, Tanahun       ",Tanahu,Gandaki,"Kahun Shivpur, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/shahid-ganga-higher-secondary-school,Public,,,,,
Udaya Higher Secondary School Tanahun,HSEB,9841933305,,,"Vyas-9, Thulotar, Tanahun       ",Tanahu,Gandaki,"Vyas-9, Thulotar, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/udaya-higher-secondary-school-tanahun,Public,,,,,
Shiva Saraswati Higher Secondary School,HSEB,9746015897 9746015209,,,"Rishing, Ranipokhari, Tanahun       ",Tanahu,Gandaki,"Rishing, Ranipokhari, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/shiva-saraswati-higher-secondary-school,Public,,,,,
Chhabdi Higher Secondary School,HSEB,9846063316,,,"Dhorchhabdi, Tanahun       ",Tanahu,Gandaki,"Dhorchhabdi, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/chhabdi-higher-secondary-school,Public,,,,,
Jana Premi Higher Secondary School,HSEB,056-690206,,,"Lamagaun, Tanahun       ",Tanahu,Gandaki,"Lamagaun, Tanahun  Tanahu   Gandaki",Ten Plus Two Education,Ten Plus Two Education,,http://edusanjal.com/college/jana-premi-higher-secondary-school,Public,,,,,
Shankar Higher Secondary School Tanahun,HSEB,97460178203,,,"Dumrebesi, Tanahun       ",Tanahu,Gandaki,"Dumrebesi, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/shankar-higher-secondary-school-tanahun,Public,,,,,
Nepal Model Higher Secondary School,HSEB,29511,,,"Waling,         ",Syangja,Gandaki,"Waling, Syangja  Syangja   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/nepal-model-higher-secondary-school,Public,,,,,
Bhanubhakta Acharaya Higher Secondary School,HSEB,29555,,,"Galayang Bazar,         ",Syangja,Gandaki,"Galayang Bazar, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Science,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Science,Ten Plus Two Management",,http://edusanjal.com/college/bhanubhakta-acharaya-higher-secondary-school,Public,,,,,
Chandi Devi Rastriya Higher Secondary School,HSEB,065-690717,,,"Vyas, Kumaltari, Tanahun       ",Tanahu,Gandaki,"Vyas, Kumaltari, Tanahun  Tanahu   Gandaki","Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/chandi-devi-rastriya-higher-secondary-school,Public,,,,,
Pradyumna Paneru Higher Secondary School,HSEB,429345,,,"Rangethanti,         ",Syangja,Gandaki,"Rangethanti, Syangja  Syangja   Gandaki","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/pradyumna-paneru-higher-secondary-school,Public,,,,,
Pioneers' English Higher Secondary School,HSEB,29511,,,"Waling,         ",Syangja,Gandaki,"Waling, Syangja  Syangja   Gandaki","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/pioneers-english-higher-secondary-school,Public,,,,,
Siddhartha Higher Secondary School Syangja,HSEB,63-29333,,,"Phedikhola,         ",Syangja,Gandaki,"Phedikhola, Syangja  Syangja   Gandaki","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/siddhartha-higher-secondary-school-syangja,Public,,,,,
Jana Pradip Higher Secondary School,HSEB,29308,,,"Chilaunebas,         ",Syangja,Gandaki,"Chilaunebas, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/jana-pradip-higher-secondary-school,Public,,,,,
Janajukta Shahi Higher Secondary School,HSEB,9746038424,,,"Sange, Tanahun       ",Tanahu,Gandaki,"Sange, Tanahun  Tanahu   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/janajukta-shahi-higher-secondary-school,Public,,,,,
Ganga Lal Higher Secondary School,HSEB,29432,,,"Chapakot,         ",Syangja,Gandaki,"Chapakot, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/ganga-lal-higher-secondary-school,Public,,,,,
Bal Siddha Higher Secondary School,HSEB,75-529307,,,"Keware,         ",Syangja,Gandaki,"Keware, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/bal-siddha-higher-secondary-school,Public,,,,,
Chirag Higher Secondary School,HSEB,29554,,,Galyang Bazar         ,Syangja,Gandaki,Galyang Bazar Syangja  Syangja   Gandaki,"Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/chirag-higher-secondary-school,Public,,,,,
Syangja Higher Secondary School,HSEB,420274-420014,,,"Putali Bazar,         ",Syangja,Gandaki,"Putali Bazar, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/syangja-higher-secondary-school,Public,,,,,
Pancha Kanya Higher Secondary School Syangja,HSEB,29305,,,"Arjun Chaupari,         ",Syangja,Gandaki,"Arjun Chaupari, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/pancha-kanya-higher-secondary-school-syangja,Public,,,,,
Birendra Higher Secondary School Syangja,HSEB,,,,"Krishna  ,         ",Syangja,Gandaki,"Krishna Gandaki, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Humanities",,http://edusanjal.com/college/birendra-higher-secondary-school-syangja,Public,,,,,
Kolma Barah Chaur Higher Secondary School,HSEB,63-429323,,,"Kolma,         ",Syangja,Gandaki,"Kolma, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Humanities","Ten Plus Two Education,Ten Plus Two Humanities",,http://edusanjal.com/college/kolma-barah-chaur-higher-secondary-school,Public,,,,,
Purnamrit Bhawani Higher Secondary School,HSEB,,,,"Waling,         ",Syangja,Gandaki,"Waling, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science,Ten Plus two in Plant Science","Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",Ten Plus two in Plant Science,http://edusanjal.com/college/purnamrit-bhawani-higher-secondary-school,Public,,,,,
Dahathum Higher Secondary School,HSEB,,,,"Dahathum,         ",Syangja,Gandaki,"Dahathum, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/dahathum-higher-secondary-school,Public,,,,,
Bhu Pu Sainik English Boarding Higher Secondary School,HSEB,,,,"Waling,         ",Syangja,Gandaki,"Waling, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Humanities,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Humanities,Ten Plus Two Management",,http://edusanjal.com/college/bhu-pu-sainik-english-boarding-secondary-school,Public,,,,,
Kalika Higher Secondary School Syangja,HSEB,,,,"Jhapakot,         ",Syangja,Gandaki,"Jhapakot, Syangja  Syangja   Gandaki","Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/kalika-higher-secondary-school-syangja,Public,,,,,
Shree Sarbajanik Higher Secondary School,HSEB,,,,"Malunga,         ",Syangja,Gandaki,"Malunga, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/shree-sarbajanik-higher-secondary-school,Public,,,,,
Nava Jyoti Higher Secondary School,HSEB,429307,,,"Kichnas,         ",Syangja,Gandaki,"Kichnas, Syangja  Syangja   Gandaki","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/nava-jyoti-higher-secondary-school,Public,,,,,
Bal Vidhya Bikash Boarding Higher Secondary School,HSEB,,,,"Waling,         ",Syangja,Gandaki,"Waling, Syangja  Syangja   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/bal-vidhya-bikash-boarding-higher-school,Public,,,,,
Rajsthal Higher Secondary School,HSEB,,,,"Putali Bazar,         ",Syangja,Gandaki,"Putali Bazar, Syangja  Syangja   Gandaki","Ten Plus Two Management,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Education",,http://edusanjal.com/college/rajsthal-higher-secondary-school,Public,,,,,
Bhu. Pu. Sainik Boarding Higher Secondary School,HSEB,,,,"Dewanchok,         ",Syangja,Gandaki,"Dewanchok, Syangja  Syangja   Gandaki","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/bhu-pu-sainik-boarding-higher-school,Public,,,,,
Bhagyodaya Higher Secondary School Syangja,HSEB,,,,"Ujelidanda,         ",Syangja,Gandaki,"Ujelidanda, Syangja  Syangja   Gandaki","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/bhagyodaya-higher-secondary-school-syangja,Public,,,,,
