OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Laxmi Higher Secondary School Palpa,,9847029189,,,Tansen 13       ,Palpa,Lumbini,Tansen 13  Palpa   Lumbini,Ten Plus two in Plant Science,http://edusanjal.com/college/laxmi-higher-secondary-school-palpa,Public,,,,,
Devchuli Higher Secondary School,,"078-545006, 9857040006",,,Rajahar       ,Nawalparasi,Lumbini,Rajahar  Nawalparasi   Lumbini,Ten Plus two in Civil Engineering,http://edusanjal.com/college/devchuli-higher-secondary-school,Public,,,,,
Mahakavi Devkota Higher Secondary School Nawalparasi,CTEVT,"078-570230, 9847063334",,,Sunwal       ,Nawalparasi,Lumbini,Sunwal  Nawalparasi   Lumbini,TSLC in Automobile Engineering (Automobile Sub-overseer) ; 40;,http://edusanjal.com/college/mahakavi-devkota-higher-secondary-school-nawalparasi,Public,,,,,
Nawa Ratna Higher Secondary School,,,,,Semlar       ,Rupandehi,Lumbini,Semlar  Rupandehi   Lumbini,Ten Plus two in Plant Science,http://edusanjal.com/college/nawa-ratna-higher-secondary-school,Public,,,,,
Kalika Higher Secondary School Rupandehi,,"071-540392, 9857027754",,,Kalikanagar Butwal       ,Rupandehi,Lumbini,Kalikanagar Butwal  Rupandehi   Lumbini,Ten Plus two in Computer Engineering,http://edusanjal.com/college/kalika-higher-secondary-school-rupandehi,Public,,,,,
Shanti Namuna Higher Secondary School,CTEVT,071-560188,contact@sns.edu.np,http://www.sns.edu.np/,"Manigram, Anandban-3       ",Rupandehi,Lumbini,"Manigram, Anandban-3  Rupandehi   Lumbini",TSLC in Mechanical Engineering (Mechanical Sub-overseer) ; 40;,http://edusanjal.com/college/shanti-namuna-higher-secondary-school,Public,,,,,
Nabin Audhogik Higher Secondary School,,071-546015,,,Butwal-13       ,Rupandehi,Lumbini,Butwal-13  Rupandehi   Lumbini,Ten Plus two in Civil Engineering,http://edusanjal.com/college/nabin-audhogik-higher-secondary-school,Public,,,,,
Nepal Adarsha Higher Secondary School,,076-540146,,,"Shiwapur,         ",Kapilvastu,Lumbini,"Shiwapur, Kapilvastu  Kapilvastu   Lumbini",Ten Plus two in Animal Science,http://edusanjal.com/college/nepal-adarsha-higher-secondary-school,Public,,,,,
Rastriya Higher Secondary School Kapilvastu,CTEVT,076-540002,,,"Chandauta, Kapilbastu       ",Kapilvastu,Lumbini,"Chandauta, Kapilbastu  Kapilvastu   Lumbini","Diploma in Computer Engineering ; 48;,Junior Computer Technician ; 40;",http://edusanjal.com/college/rastriya-higher-secondary-school-kapilvastu,Public,,,,,
Shiv Madan Higher Secondary School,CTEVT,"077-420373,77-690081",,,"Satineta, Adguri       ",Arghakhanchi,Lumbini,"Satineta, Adguri  Arghakhanchi   Lumbini",JTA-Plant Science ; 40;,http://edusanjal.com/college/shiv-madan-higher-secondary-school,Public,,,,,
Janata Higher Secondary School Pyuthan,CTEVT,,,,Bagdula       ,Pyuthan,Rapti,Bagdula  Pyuthan   Rapti,Junior Computer Technician ; 40;,http://edusanjal.com/college/janata-higher-secondary-school-pyuthan,Public,,,,,
Bal Kalyan Higher Secondary School Rolpa,CTEVT,,,,"Liwang,         ",Rolpa,Rapti,"Liwang, Rolpa  Rolpa   Rapti",TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;,http://edusanjal.com/college/bal-kalyan-higher-secondary-school-rolpa,Public,,,,,
Shital Higher Secondary School,,,,,Chaurjahari       ,Rukum,Rapti,Chaurjahari  Rukum   Rapti,Ten Plus two in Civil Engineering,http://edusanjal.com/college/shital-higher-secondary-school,Public,,,,,
Jana Kalyan Higher Secondary School Salyan,,,,,Tharmare       ,Salyan,Rapti,Tharmare  Salyan   Rapti,Ten Plus two in Plant Science,http://edusanjal.com/college/jana-kalyan-higher-secondary-school-salyan,Public,,,,,
Shiwajan Higher Secondary School,CTEVT,,,,Sitalpati       ,Salyan,Rapti,Sitalpati  Salyan   Rapti,JTA-Plant Science ; 40;,http://edusanjal.com/college/shiwajan-higher-secondary-school,Public,,,,,
"Padmodaya Public Higher Secondary School, Dang",CTEVT,http://padmodayadang.com/,,http://padmodayadang.com/,"Ghorahi, Bharatpur       ",Dang-Deukhuri,Rapti,"Ghorahi, Bharatpur  Dang-Deukhuri   Rapti","Diploma in Electrical Engineering ; 48;,Junior Computer Technician ; 40;,TSLC IN Social Mobilization ; 40;,TSLC in Electrical Engineering (Electrical Sub-overseer) ; 40;",http://edusanjal.com/college/padmodaya-public-higher-secondary-school,Public,,,,,
Dhambojhi Higher Secondary School,,081-525491,,,Nepalgunj       ,Banke,Bheri,Nepalgunj  Banke   Bheri,Ten Plus two in Computer Engineering,http://edusanjal.com/college/dhambojhi-higher-secondary-school,Public,,,,,
Tribhuvan Higher Secondary School Banke,CTEVT,081-540030,,,"Kohalapur,         ",Banke,Bheri,"Kohalapur, Banke  Banke   Bheri","Diploma in Computer Engineering ; 48;,Junior Computer Technician ; 40;",http://edusanjal.com/college/tribhuwan-higher-secondary-school-banke,Public,,,,,
Dhruba Higher Secondary School,,084-690024,,,Tulsipur Gulariya       ,Bardiya,Bheri,Tulsipur Gulariya  Bardiya   Bheri,Ten Plus two in Animal Science,http://edusanjal.com/college/dhruba-higher-secondary-school,Public,,,,,
Jan Jyoti Higher Secondary School Surkhet,CTEVT,083-691959,,,"Baddichaur,         ",Surkhet,Bheri,"Baddichaur, Surkhet  Surkhet   Bheri",JTA-Plant Science ; 40;,http://edusanjal.com/college/jan-jyoti-higher-secondary-school-surkhet,Public,,,,,
Vijaya Higher Secondary School,,29323,,,Dullu       ,Dailekh,Bheri,Dullu  Dailekh   Bheri,Ten Plus two in Plant Science,http://edusanjal.com/college/vijaya-higher-secondary-school,Public,,,,,
Tribhuvan Namuna Higher Secondary School Dailekh,,20083,,,  Bazar       ,Dailekh,Bheri,Dailekh Bazar  Dailekh   Bheri,Ten Plus two in Computer Engineering,http://edusanjal.com/college/tribhuvan-higher-secondary-school-dailekh,Public,,,,,
Bashant Higher Secondary School Dailekh,CTEVT,089-690406,,,"Kimugaun,         ",Dailekh,Bheri,"Kimugaun, Dailekh  Dailekh   Bheri",JTA-Plant Science ; 40;,http://edusanjal.com/college/bashant-higher-secondary-school,Public,,,,,
Bhairab Higher Secondary School Jumla,CTEVT,,,,Narakot Sinja       ,Jumla,Karnali,Narakot Sinja  Jumla   Karnali,JTA-Plant Science ; 40;,http://edusanjal.com/college/bhairab-higher-secondary-school,Public,,,,,
Adarsha Higher Secondary School Dolpa,CTEVT,,,,Juphal       ,Dolpa,Karnali,Juphal  Dolpa   Karnali,JTA-Plant Science ; 40;,http://edusanjal.com/college/adarsha-higher-secondary-school-dolpa,Public,,,,,
Pancha Dev Higher Secondary School,CTEVT,,,,"Manma,         ",Kalikot,Karnali,"Manma, Kalikot  Kalikot   Karnali",TSLC in Electrical Engineering (Electrical Sub-overseer) ; 40;,http://edusanjal.com/college/pancha-dev-higher-secondary-school,Public,,,,,
Lokpriya Higher Secondary School,CTEVT,9748903689,,,Gamtha       ,Mugu,Karnali,Gamtha  Mugu   Karnali,JTA-Plant Science ; 40;,http://edusanjal.com/college/lokpriya-higher-secondary-school,Public,,,,,
Bhanodaya Higher Secondary School,,,,,"Naubise,         ",Bajura,Seti,"Naubise, Bajura  Bajura   Seti",Ten Plus two in Animal Science,http://edusanjal.com/college/bhanodaya-higher-secondary-school,Public,,,,,
Malika Namuna Higher Secondary School Bajura,CTEVT,,,,Martadi       ,Bajura,Seti,Martadi  Bajura   Seti,"Diploma in Civil Engineering ; 48;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;",http://edusanjal.com/college/malika-higher-secondary-school-bajura,Public,,,,,
Mahadev Higher Secondary School Humla,CTEVT,019-651005,,,"Darma, Mimi,         ",Humla,Karnali,"Darma, Mimi, Humla  Humla   Karnali",JTA-Plant Science ; 40;,http://edusanjal.com/college/mahadev-higher-secondary-school-humla,Public,,,,,
Jalpa Devi Higher Secondary School,CTEVT,092-421048,,,"Rithapata Dewal,         ",Bajhang,Seti,"Rithapata Dewal, Bajhang  Bajhang   Seti",JTA-Plant Science ; 40;,http://edusanjal.com/college/jalapa-higher-secondary-school,Public,,,,,
Vidhya Mandir Higher Secondary School Achham,CTEVT,,,,Binayak       ,Achham,Seti,Binayak  Achham   Seti,"Diploma in Agriculture ; 40;,JTA-Plant Science ; 40;",http://edusanjal.com/college/vidhya-mandir-higher-secondary-school-achham,Public,,,,,
Ghanteshwar Higher Secondary School,,,,,Laxmi Nagar       ,Doti,Seti,Laxmi Nagar  Doti   Seti,Ten Plus two in Plant Science,http://edusanjal.com/college/ghanteshwar-higher-secondary-school,Public,,,,,
Durga Laxmi Higher Secondary School,,,,,Malakheti Atariya       ,Kailali,Seti,Malakheti Atariya  Kailali   Seti,Ten Plus two in Computer Engineering,http://edusanjal.com/college/durga-laxmi-higher-secondary-school,Public,,,,,
Panchodaya Higher Secondary School,CTEVT,091-412097,,,Dhangadhi       ,Kailali,Seti,Dhangadhi  Kailali   Seti,TSLC in Electrical Engineering (Electrical Sub-overseer) ; 40;,http://edusanjal.com/college/panchodaya-higher-secondary-school,Public,,,,,
Bhanu Higher Secondary School Kanchanpur,,,,,Dodhara       ,Kanchanpur,Mahakali,Dodhara  Kanchanpur   Mahakali,Ten Plus two in Computer Engineering,http://edusanjal.com/college/bhanu-higher-secondary-school-kanchanpur,Public,,,,,
Florida International Boarding Higher Secondary School,,"099-525253, 524951",,,"Bhimdatta Municipality-18 Janaki Tole, Mahendranagar       ",Kanchanpur,Mahakali,"Bhimdatta Municipality-18 Janaki Tole, Mahendranagar  Kanchanpur   Mahakali",Bachelor of Business Studies (BBS),http://edusanjal.com/college/florida-international-boarding-higher-secondary-school,Public,,,,,
Baijaanath Higher Secondary School Kanchanpur,,,,,Jadepani Daiji       ,Kanchanpur,Mahakali,Jadepani Daiji  Kanchanpur   Mahakali,Ten Plus two in Plant Science,http://edusanjal.com/college/baijaanath-higher-secondary-school,Public,,,,,
Mahendra Namuna Higher Secondary School Dadeldhura,,,,,Amargadhi       ,Dadeldhura,Mahakali,Amargadhi  Dadeldhura   Mahakali,Ten Plus two in Civil Engineering,http://edusanjal.com/college/mahendra-higher-secondary-school-dadeldhura,Public,,,,,
Durga Higher Secondary School Dadeldhura,CTEVT,,,,Aalital       ,Dadeldhura,Mahakali,Aalital  Dadeldhura   Mahakali,JTA-Plant Science ; 40;,http://edusanjal.com/college/durga-higher-secondary-school-dadeldhura,Public,,,,,
"Manilek Higher Secondary School, Baitadi",,,,,       ,Baitadi,Mahakali,  Baitadi   Mahakali,Ten Plus two in Civil Engineering,http://edusanjal.com/college/manilek-higher-secondary-school,Public,,,,,
Krishna Higher Secondary School Baitadi,,,,,Patan       ,Baitadi,Mahakali,Patan  Baitadi   Mahakali,Ten Plus two in Computer Engineering,http://edusanjal.com/college/krishna-higher-secondary-school-baitadi,Public,,,,,
Shree Birendra Higher Secondary School,CTEVT,,,,Shahilek       ,Baitadi,Mahakali,Shahilek  Baitadi   Mahakali,Junior Computer Technician ; 40;,http://edusanjal.com/college/shree-birendra-higher-secondary-school,Public,,,,,
Janabikash Higher Secondary School,,,,,Barbaj Bramhadev       ,Darchula,Mahakali,Barbaj Bramhadev  Darchula   Mahakali,Ten Plus two in Plant Science,http://edusanjal.com/college/janabikash-higher-secondary-school,Public,,,,,
Latinath Higher Secondary School Darchula,CTEVT,093 690350,,http://latinath.edu.np/,Latinath vdc -02 Rithachhaupata       ,Darchula,Mahakali,Latinath vdc -02 Rithachhaupata  Darchula   Mahakali,"Diploma in Agriculture ; 40;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;,JTA-Plant Science ; 40;",http://edusanjal.com/college/latinath-higher-secondary-school-darchula,Public,,,,,
Kashyap Institute of Engineering and Technology,The Institutions of Civil Engineers (India),"977-41-527510, +977-41-528185",info@kashyapiet.org,http://www.kashyapiet.org/,       ,Dhanusa,Janakpur,  Dhanusa   Janakpur,"Diploma in Architechture,Diploma in Civil Engineering",http://edusanjal.com/college/kashyap-institute-engineering-and-technology,Public,,,,,
Kathmandu University School of law,Kathmandu University,977-011-490735,kusl@ku.edu.np,,"Dhulikhel, Nepal       ",Kavrepalanchok,Bagmati,"Dhulikhel, Nepal  Kavrepalanchok   Bagmati",Bachelor of Business Management and Bachelor of Law (BBM LLB) ; 44; ; 696250;,http://edusanjal.com/college/kathmandu-university-school-law,Public,,,,,
Palpa Engineering College,CTEVT,075-521167,,,"Bhagwati, Tansen-8       ",Palpa,Lumbini,"Bhagwati, Tansen-8  Palpa   Lumbini",Diploma in Civil Engineering ; 48;,http://edusanjal.com/college/palpa-engineering-college,Public,,,,,
Rambha Devi College of Medical Science,CTEVT,071-561920,rambhadevi_02@yahoo.com,,"Pandra Bigha,  -9       ",Rupandehi,Lumbini,"Pandra Bigha, Rupandehi-9  Rupandehi   Lumbini","Health Assistant (HA) ; 40; ; 346923;,Certificate in Medical Laboratory Technology (CMLT) ; 30;",http://edusanjal.com/college/rambha-devi-college-medical-science,Public,,,,,
Jhimruk Multiple Campus,Tribhuvan University,,,,Bagdula         ,Pyuthan,Rapti,Bagdula Pyuthan  Pyuthan   Rapti,Bachelor of Business Studies (BBS),http://edusanjal.com/college/jhimruk-multiple-campus,Public,,,,,
Rambha Devi Technical College,CTEVT,071-561920,rambhadevi_02@yahoo.com,,"Pandra Bigha,  -9 Butwal       ",Rupandehi,Lumbini,"Pandra Bigha, Rupandehi-9 Butwal  Rupandehi   Lumbini",Diploma in Civil Engineering ; 48;,http://edusanjal.com/college/rambha-devi-technical-college,Public,,,,,
Seti Technical School,CTEVT,977-94-412176 94-412027,info@stsdipayal.edu.np,http://stsdipayal.edu.np/,"Jogidabra 7, Dipayal Silgadi       ",Doti,Seti,"Jogidabra 7, Dipayal Silgadi  Doti   Seti","Diploma in Civil Engineering ; 48;,Diploma in Agriculture ; 40;,Veterinary JTA ; 40;,Auxiliary Nurse Midwife (ANM) ; 40;,JTA-Plant Science ; 40;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;",http://edusanjal.com/college/seti-technical-school,Public,,,,,
Bheri Technical School,CTEVT,"977-081-521538, 523651",,,"Nepalgunj-16,         ",Banke,Bheri,"Nepalgunj-16, Banke  Banke   Bheri","Diploma in Electrical Engineering ; 48;,Diploma in Mechanical Engineering ; 30;,TSLC in Electrical Engineering (Electrical Sub-overseer) ; 30;,TSLC in Mechanical Engineering (Mechanical Sub-overseer) ; 16;,TSLC in Automobile Engineering (Automobile Sub-overseer) ; 24;",http://edusanjal.com/college/bheri-technical-school,Public,,,,,
Rapti Technical School,CTEVT,"082-580029, 580059",,,"Baghdhaddi-8, Lalmatiya       ",Dang-Deukhuri,Rapti,"Baghdhaddi-8, Lalmatiya  Dang-Deukhuri   Rapti","JTA Animal Science ; 43;,JTA-Plant Science ; 43;,Diploma in Agriculture ; 40;,Veterinary JTA ; 43;,TSLC in Community Medicine Assistant-CMA ; 40;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 43;",http://edusanjal.com/college/rapti-technical-school,Public,,,,,
School of Health Science,CTEVT,977-56-520243,info@sohs.edu.np,http://sohs.edu.np/,"Bharatpur-10,         ",Chitwan,Narayani,"Bharatpur-10, Chitwan  Chitwan   Narayani","Health Assistant (HA) ; 62;,Certificate in Medical Laboratory Technology (CMLT) ; 30;,Diploma in Pharmacy ; 40;,Diploma in Ophthalmic Science ; 40;",http://edusanjal.com/college/school-health-science,Public,,,,,
Madan Ashrit Memorial Technical School,CTEVT,01-4991748,khemrajpokharel111@yahoo.com,,"Gothatar,         ",Kathmandu,Bagmati,"Gothatar, Kathmandu  Kathmandu   Bagmati","Diploma in Civil Engineering ; 48;,Diploma in Hotel Management ; 40;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;,Veterinary JTA ; 40;",http://edusanjal.com/college/madan-ashrit-memorial-technical-school,Public,,,,,
Balaju School of Engineering and Technology,CTEVT,"977-01-4350213, 4350228",info@bset.org.np,http://www.bset.org.np/,Balaju-16        ,Kathmandu,Bagmati,Balaju-16   Kathmandu   Bagmati,"Diploma in Electrical Engineering ; 30;,Diploma in Civil Engineering ; 36;,TSLC in Mechanical Engineering (Mechanical Sub-overseer) ; 35;,TSLC in Electrical Engineering (Electrical Sub-overseer) ; 35;,Diploma in Mechanical Engineering ; 48;",http://edusanjal.com/college/balaju-school-engineering-and-technology,Public,,,,,
Korea Nepal Institute of Technology (KNIT),CTEVT,071-450004,,http://www.knit.edu.np/,"Tamnagar 14, Butwal       ",Rupandehi,Lumbini,"Tamnagar 14, Butwal  Rupandehi   Lumbini","Diploma in Electrical Engineering ; 30;,Diploma in Electronics Engineering ; 30;,Diploma in Mechanical Engineering ; 30;,Diploma in Automobile engineering ; 30;",http://edusanjal.com/college/korea-nepal-institute-technology,Public,,,,,
Pokhara Tourism Training Center,CTEVT,061-528040,pttc@fewanet.com.np,,"Fulbari, Pokhara       ",Kaski,Gandaki,"Fulbari, Pokhara  Kaski   Gandaki",Diploma in Hotel Management ; 40;,http://edusanjal.com/college/pokhara-tourism-training-center,Public,,,,,
Karnali Technical School,CTEVT,019-551525,,,"Ghughuti 5, Chandannath       ",Jumla,Karnali,"Ghughuti 5, Chandannath  Jumla   Karnali","Diploma in Civil Engineering ; 48;,Diploma in Agriculture ; 32;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;,TSLC in Community Medicine Assistant-CMA ; 40;,Auxiliary Nurse Midwife (ANM) ; 40;,Veterinary JTA ; 40;,JTA-Plant Science ; 40;",http://edusanjal.com/college/karnali-technical-school,Public,,,,,
Nepal Banepa Polytechnic Institute,CTEVT,"977-11-660625, 660867",nbpibanepa@yahoo.com,http://www.nbpi.edu.np/,"Banepa 2, Kavre       ",Kavrepalanchok,Bagmati,"Banepa 2, Kavre  Kavrepalanchok   Bagmati","Diploma in Information Technology ; 48;,Diploma in Electrical Engineering ; 48;,Diploma in Hotel Management ; 40;,Diploma in Civil Engineering ; 48;",http://edusanjal.com/college/nepal-banepa-polytechnic-institute,Public,,,,,
Manmohan Memorial Polytechnic,CTEVT,"977 21 622058, 420876",info@mmp.edu.np,http://www.mmp.edu.np/,Hattimuda       ,Morang,Koshi,Hattimuda  Morang   Koshi,"Diploma in Civil Engineering ; 48;,Diploma in Electrical Engineering ; 48;,Diploma in Mechanical Engineering ; 48;,Diploma in Electronics Engineering ; 48;",http://edusanjal.com/college/manmohan-memorial-polytechnic,Public,,,,,
Uttarpani Technical School,CTEVT,026-540230,uttim@yahoo.com,http://www.uts.org.np/,Uttarpani 1       ,Dhankuta,Koshi,Uttarpani 1  Dhankuta   Koshi,"Veterinary JTA,JTA-Plant Science",http://edusanjal.com/college/uttarpani-technical-school,Public,,,,,
Udayapur Technical Training School,CTEVT,977-031-520115,,,Rajbiraj-4       ,Saptari,Sagarmatha,Rajbiraj-4  Saptari   Sagarmatha,"TSLC in Community Medicine Assistant-CMA ; 40;,Auxiliary Nurse Midwife (ANM) ; 40;",http://edusanjal.com/college/udaypur-technical-training-school,Public,,,,,
Jiri Technical School,CTEVT,049-400064,jiritechnicalschool@yahoo.com,,Jiri 7       ,Dolakha,Janakpur,Jiri 7  Dolakha   Janakpur,"Diploma in Agriculture ; 80;,Auxiliary Nurse Midwife (ANM) ; 40;,Veterinary JTA ; 40;,JTA-Plant Science ; 40;,JTA Animal Science ; 40;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;",http://edusanjal.com/college/jiri-technical-school,Public,,,,,
Yala Institute of Health Science,CTEVT,01-5537549,yalahealth@gmail.com,," -5, Kumaripati       ",Lalitpur,Bagmati,"Lalitpur-5, Kumaripati  Lalitpur   Bagmati",Certificate in Medical Laboratory Technology (CMLT) ; 30;,http://edusanjal.com/college/yala-institute-health-science,Public,,,,,
Sumnima Polytechnic institute,CTEVT,9852052256,,,Bhojpur     ,Koshi,Null,Bhojpur    Koshi,"Diploma in Civil Engineering ; 48;,Diploma in Agriculture ; 40;",http://edusanjal.com/college/sumnima-polytechnic-institute,Public,,,,,
Lahan Technical School,CTEVT,977-033-560015,lts_ctevt@yahoo.com,,"Grahmin Chowk, 10, Lahan       ",Siraha,Sagarmatha,"Grahmin Chowk, 10, Lahan  Siraha   Sagarmatha","Diploma in Civil Engineering ; 48;,Diploma in Agriculture ; 40;,Diploma in Ophthalmic Science ; 40;,TSLC in Civil Engineering (Civil Sub-Overseer),TSLC in Mechanical Engineering (Mechanical Sub-overseer),Veterinary JTA,JTA-Plant Science",http://edusanjal.com/college/lahan-technical-school,Public,,,,,
Madan Bhandari Agriculture Technical School,CTEVT,082-561646,,,"Gulariya, Dang       ",Dang-Deukhuri,Rapti,"Gulariya, Dang  Dang-Deukhuri   Rapti",Diploma in Agriculture ; 40;,http://edusanjal.com/college/madan-bhandari-agriculture-technical-school,Public,,,,,
Samarpan Academy Institute of Crisis Management Studies,Tribhuvan University,977-1-4008181,info@tuicms.edu.np,http://www.tuicms.edu.np/,"Dhumbarahi -4,         ",Kathmandu,Bagmati,"Dhumbarahi -4, Kathmandu  Kathmandu   Bagmati",Master of Arts (MA) in Crisis Management Studies,http://edusanjal.com/college/samarpan-academy-institute-crisis-management-studies,Public,,,,,
Nepalgunj Health Campus,CTEVT,081-520399,,,"Nepalgunj,          ",Banke,Bheri,"Nepalgunj, Banke   Banke   Bheri",Certificate in Medical Laboratory Technology (CMLT) ; 30;,http://edusanjal.com/college/nepalgunj-health-campus,Public,,,,,
"National Engineering College, Nepalgunj",CTEVT,081-550066,,,"Nepalgunj,         ",Banke,Bheri,"Nepalgunj, Banke  Banke   Bheri",Diploma in Civil Engineering ; 48;,http://edusanjal.com/college/national-engineering-college-nepalgunj,Public,,,,,
Golden Park College,CTEVT,"021-462344, 9842050416",,,Biratnagar       ,Morang,Koshi,Biratnagar  Morang   Koshi,"Diploma in Civil Engineering ; 48;,Diploma in Computer Engineering ; 48;,TSLC in Community Medicine Assistant-CMA ; 40;,TSLC in Medical Lab Technology (Lab Assistant)",http://edusanjal.com/college/golden-park-college,Public,,,,,
Sagarmatha Technical College,CTEVT,056-526028,,,"Bharatpur,         ",Chitwan,Narayani,"Bharatpur, Chitwan  Chitwan   Narayani",Diploma in Pharmacy ; 40;,http://edusanjal.com/college/sagarmatha-technical-college,Public,,,,,
Oxford Advanced Engineering College,CTEVT,01-4288360,oxfordadvance@gmail.com,,"Bafal, Sitapaila (Near Army Barrack)       ",Kathmandu,Bagmati,"Bafal, Sitapaila (Near Army Barrack)  Kathmandu   Bagmati","Diploma in Civil Engineering ; 48;,Diploma in Computer Engineering ; 48;",http://edusanjal.com/college/oxford-advanced-engineering-college,Public,,,,,
Nepal Softech College of Computer Engineering,CTEVT,031-520839,,,"Rajbiraj-5, Rupani Road       ",Saptari,Sagarmatha,"Rajbiraj-5, Rupani Road  Saptari   Sagarmatha",Diploma in Computer Engineering ; 48;,http://edusanjal.com/college/nepal-softech-college-computer-engineering,Public,,,,,
"Life Line hospital, Institute of Health Sciences",CTEVT,"977-023-580636, 580997, 581121",lifelinehospital@ntc.net.np,,"Bhrikuti Chowk – 10, Damak       ",Jhapa,Mechi,"Bhrikuti Chowk – 10, Damak  Jhapa   Mechi","PCL Nursing ; 40; ; 396360;,Certificate in Medical Laboratory Technology (CMLT) ; 30;,Certificate in Diagnostic Radiography ; 30;,Health Assistant (HA) ; 40;",http://edusanjal.com/college/life-line-hospital-institute-health-sciences,Public,,,,,
Kumari Engineering College,CTEVT,"01-4470408, 01-4468303",,,"Bouddha,         ",Kathmandu,Bagmati,"Bouddha, Kathmandu  Kathmandu   Bagmati",Diploma in Civil Engineering ; 48;,http://edusanjal.com/college/kumari-engineering-college,Public,,,,,
Ojasbi Academy,CTEVT,01-4811999,,,Chabhil       ,Kathmandu,Bagmati,Chabhil  Kathmandu   Bagmati,Certificate in Medical Laboratory Technology (CMLT) ; 30;,http://edusanjal.com/college/ojasbi-academy,Public,,,,,
Dhankuta Institute of Health Science,CTEVT,977-026-520033,,,"Bich Bajar-6,         ",Dhankuta,Koshi,"Bich Bajar-6, Dhankuta  Dhankuta   Koshi","Health Assistant (HA) ; 40; ; 292500;,TSLC in Community Medicine Assistant-CMA ; 40;,Auxiliary Nurse Midwife (ANM) ; 40;",http://edusanjal.com/college/dhankuta-institute-health-science,Public,,,,,
Lumbini Institute of Technical Sciences,CTEVT,"071-548938, 542938",lits@hons.com.np,,"Sukkhanagar-10,  , Butwal       ",Rupandehi,Lumbini,"Sukkhanagar-10, Rupandehi, Butwal  Rupandehi   Lumbini","Diploma in Pharmacy ; 40; ; 281656;,TSLC in Medical Lab Technology (Lab Assistant) ; 40;",http://edusanjal.com/college/lumbini-institute-technical-sciences,Public,,,,,
Rambhadevi College of Technical Science,CTEVT,071-414105,,,"Butwal,         ",Rupandehi,Lumbini,"Butwal, Rupandehi  Rupandehi   Lumbini",Diploma in Civil Engineering ; 48;,http://edusanjal.com/college/rambhadevi-college-technical-science,Public,,,,,
Mahendra Institute of Medical Science,CTEVT,,,," , Dhanusha       ",Dhanusa,Janakpur,"Janakpur, Dhanusha  Dhanusa   Janakpur",Certificate in Medical Laboratory Technology (CMLT) ; 30;,http://edusanjal.com/college/mahendra-institute-medical-science,Public,,,,,
Mansarowar Institute of Science and Technology,CTEVT,023-585428/ 9722157466,,,"Damak 15 campus mode,         ",Jhapa,Mechi,"Damak 15 campus mode, Jhapa  Jhapa   Mechi","Health Assistant (HA) ; 40; ; 346923;,Diploma in Pharmacy ; 40; ; 281656;",http://edusanjal.com/college/mansarowar-institute-science-and-technology,Public,,,,,
Model Medical Institute,CTEVT,77-041-523666/ 041-520662,,,"Dhanusha-4,         ",Dhanusa,Janakpur,"Dhanusha-4, Janakpur  Dhanusa   Janakpur","Certificate in Medical Laboratory Technology (CMLT) ; 30;,Health Assistant (HA) ; 40; ; 346923;",http://edusanjal.com/college/model-medical-institute,Public,,,,,
Institute of Community Technical Education,CTEVT,055520547,,,Gaur 1       ,Rautahat,Narayani,Gaur 1  Rautahat   Narayani,"TSLC in Community Medicine Assistant-CMA ; 40; ; 225000;,Health Assistant (HA) ; 40;",http://edusanjal.com/college/institute-community-technical-education,Public,,,,,
Kendriya Vidyalaya Kathmandu,CBSE,,,,        ,Kathmandu,Bagmati,Kathmandu  Kathmandu   Bagmati,"XI Commerce,XI Science",http://edusanjal.com/college/kendriya-vidyalaya-kathmandu,Public,,,,,
Purbanchal University College of Medical and Allied Sciences,Purbanchal University,021-425007,pucmasnursing@gmail.com,,Gothgaun       ,Morang,Koshi,Gothgaun  Morang   Koshi,"Bachelor of Science (B.Sc) in Nursing ; 30;,Post Basic Bachelor in Nursing (PBBN) ; 40;",http://edusanjal.com/college/purbanchal-university-college-medical-and-allied-sciences,Public,,,,,
National Human Resource Development Academy,CTEVT,977-41-528042,info@nhrdajanakpur.com,http://nhrdajanakpur.com/,        ,Dhanusa,Janakpur,Janakpur  Dhanusa   Janakpur,Health Assistant (HA) ; 40; ; 330000;,http://edusanjal.com/college/national-human-resource-development-academy,Public,,,,,
"Central Department of Hydrology & Meteorology, Tribhuvan University",Tribhuvan University,"01-4331418,01-4333887",,,Kirtipur       ,Kathmandu,Bagmati,Kirtipur  Kathmandu   Bagmati,Master of Science (M.Sc) in Meteorology,http://edusanjal.com/college/central-department-hydrology-meteorology-tribhuvan-university,Public,,,,,
