OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,HighSchoolCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Gauri English Boarding Higher Secondary School,HSEB,9804838407/041-521161,,,"  9, Dhanusha       ",Dhanusa,Janakpur,"Janakpur 9, Dhanusha  Dhanusa   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/gauri-english-boarding-higher-secondary-school,Public,,,,,
Shree Janta Ekai Higher Secondary School,HSEB,,,,"Yadukuha, Dhanusha       ",Dhanusa,Janakpur,"Yadukuha, Dhanusha  Dhanusa   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/shree-janta-ekai-higher-secondary-school,Public,,,,,
Vinayak English Boarding Higher Secondary School,HSEB,041-560024,,,"Dhhalkewar, Dhanusha       ",Dhanusa,Janakpur,"Dhhalkewar, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/vinayak-english-boarding-higher-secondary-school,Public,,,,,
Rajeshwor Nidhi Higher Secondary School,HSEB,479989,,,"Nagarain, Dhanusha       ",Dhanusa,Janakpur,"Nagarain, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/rajeshwor-nidhi-higher-secondary-school,Public,,,,,
New Ideal Higher Secondary School,HSEB,041-526779,,,"Janakpurdham, Dhanusha       ",Dhanusa,Janakpur,"Janakpurdham, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/new-ideal-higher-secondary-school,Public,,,,,
Saraswati Model Higher Secondary School Dhanusha,HSEB,41-520175,,," , Dhanusha       ",Dhanusa,Janakpur,"Janakpur, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/saraswati-model-higher-secondary-school,Public,,,,,
Shiva Shakti Higher Secondary School Dhanusha,HSEB,9804832899,,,"Bateshwar 1, Dhanusha       ",Dhanusa,Janakpur,"Bateshwar 1, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shiva-shakti-higher-secondary-school,Public,,,,,
Tapasi Baba Higher Secondary School,HSEB,041-620822,,,"Tilhi, Dhanusha       ",Dhanusa,Janakpur,"Tilhi, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Science",http://edusanjal.com/college/tapasi-baba-higher-secondary-school,Public,,,,,
Janata Jaysawal Higher Secondary School,HSEB,041-560047,,,"Tallogodar, Dhanusha       ",Dhanusa,Janakpur,"Tallogodar, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/janata-jaysawal-higher-secondary-school,Public,,,,,
Mahendra Higher Secondary School Dhanusha,HSEB,041-560047,,,"Dhalkewar, Dhanusha       ",Dhanusa,Janakpur,"Dhalkewar, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/mahendra-higher-secondary-school-dhanusha,Public,,,,,
Shankar Janata Higher Secondary School Dhanusha,HSEB,041-691710,,,"Chakkar, Dhanusha       ",Dhanusa,Janakpur,"Chakkar, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/shankar-janata-higher-secondary-school,Public,,,,,
Laxminiya Janata Higher Secondary School,HSEB,974419649,,,"Kumharaoda, Dhanusha       ",Dhanusa,Janakpur,"Kumharaoda, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/laxminiya-janata-higher-secondary-school,Public,,,,,
Shree Ram Higher Secondary School Dhanusha,HSEB,,,,"Janakpurdham-9, Dhanusha       ",Dhanusa,Janakpur,"Janakpurdham-9, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-ram-higher-secondary-school,Public,,,,,
Gogal Prasad Higher Secondary School,HSEB,041-526144,,,"Basahiya, Dhanusha       ",Dhanusa,Janakpur,"Basahiya, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/gogal-prasad-higher-secondary-school,Public,,,,,
Noble English Boarding Higher Secondary School,HSEB,,,,"Janakpurdham-4, Dhanusha       ",Dhanusa,Janakpur,"Janakpurdham-4, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/noble-english-boarding-higher-secondary-school,Public,,,,,
Basudev Higher Secondary School Dhanusa,HSEB,041-690243,,,"Bahuarba, Dhanusha       ",Dhanusa,Janakpur,"Bahuarba, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/basudev-higher-secondary-school,Public,,,,,
Jagrup Saha Rampukar Saha Higher Secondary School,HSEB,,,,"Parsuram, Dhanusha       ",Dhanusa,Janakpur,"Parsuram, Dhanusha  Dhanusa   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/jagrup-saha-rampukar-saha-higher-school,Public,,,,,
Baidyanath Devnarayan Janta Higher Secondary School,HSEB,9817629443,sbdjh.school@gmail.com,,"Tulsiyahi, Dhanusha-09       ",Dhanusa,Janakpur,"Tulsiyahi, Dhanusha-09  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/baidyanath-devnarayan-janta-higher-secondary-school,Public,,,,,
Gangotri English Boarding Higher Secondary School,HSEB,,,,"Hariharpur-1, Dhanusha       ",Dhanusa,Janakpur,"Hariharpur-1, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/gangotri-english-boarding-higher-secondary-school,Public,,,,,
Ganga Prasad Higher Secondary School,HSEB,041-620213,,,"Thera, Dhanusha       ",Dhanusa,Janakpur,"Thera, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/ganga-prasad-higher-secondary-school,Public,,,,,
Ram Janaki Higher Secondary School Dhanusha,HSEB,,,,"Kushma, Dhanusha       ",Dhanusa,Janakpur,"Kushma, Dhanusha  Dhanusa   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/ram-janaki-higher-secondary-school-dhanusa,Public,,,,,
Kantir Jha Higher Secondary School,HSEB,041-620179,,,"Bavangama, Dhanusha       ",Dhanusa,Janakpur,"Bavangama, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/kantir-jha-higher-secondary-school,Public,,,,,
Dhanush Janata Higher Secondary School,HSEB,,,,"Dhanushadham, Dhanusha       ",Dhanusa,Janakpur,"Dhanushadham, Dhanusha  Dhanusa   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/dhanush-janata-higher-secondary-school,Public,,,,,
Shree Higher Secondary School,HSEB,9844021433,,,"Parawaha Deuri, Dhanusha       ",Dhanusa,Janakpur,"Parawaha Deuri, Dhanusha  Dhanusa   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/shree-higher-secondary-school,Public,,,,,
Sarbodaya Higher Secondary School,HSEB,,,,"Paudeswar, Dhanusha       ",Dhanusa,Janakpur,"Paudeswar, Dhanusha  Dhanusa   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/sarbodaya-higher-secondary-school,Public,,,,,
Janata Higher Secondary School Dhanusha,HSEB,041-620373,,,"Giddha Belapatti, Dhanusha       ",Dhanusa,Janakpur,"Giddha Belapatti, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/janata-higher-secondary-school-dhanusha,Public,,,,,
Supersense English Boarding Higher Secondary School,HSEB,9807848756,,,"Dharapani, Dhanusha       ",Dhanusa,Janakpur,"Dharapani, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/supersense-english-boarding-hss,Public,,,,,
Rajshree Janak Higher Secondary School,HSEB,041-526150,,,"Kurtha Dhanusha, Dhanusha       ",Dhanusa,Janakpur,"Kurtha Dhanusha, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/rajshree-janak-higher-secondary-school,Public,,,,,
Tribhuvan Higher Secondary School Mahottari,HSEB,,,,"Gaushala,         ",Mahottari,Janakpur,"Gaushala, Mahottari  Mahottari   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/tribhuvan-higher-secondary-school-mahottari,Public,,,,,
Nava Kshitiz Higher Secondary School,HSEB,044-550390,,,"Bardibas,         ",Mahottari,Janakpur,"Bardibas, Mahottari  Mahottari   Janakpur","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/nava-kshitiz-higher-secondary-school,Public,,,,,
Laxmi Narayan Janata Higher Secondary School,HSEB,044-550138,,,"Khayaramara,         ",Mahottari,Janakpur,"Khayaramara, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/laxmi-narayan-janata-higher-secondary-school,Public,,,,,
Yog Kumar Higher Secondary School,HSEB,044-620210,,,"Balawa,         ",Mahottari,Janakpur,"Balawa, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/yog-kumar-higher-secondary-school,Public,,,,,
Ram Narayan Ayodhya Higher Secondary School,HSEB,20509,,,"Pipara,         ",Mahottari,Janakpur,"Pipara, Mahottari  Mahottari   Janakpur","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/ram-narayan-ayodhya-higher-secondary-school,Public,,,,,
Higher Secondary School Dhanusha,HSEB,9744008051,,,"Baghachaura, Dhanusha       ",Dhanusa,Janakpur,"Baghachaura, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/higher-secondary-school-dhanusha,Public,,,,,
Bhanu Higher Secondary School Dhanusha,HSEB,9744019149,,,"Kisanpur, Dhanusha       ",Dhanusa,Janakpur,"Kisanpur, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/bhanu-higher-secondary-school-dhanusha,Public,,,,,
Mahendra Rastriya Higher Secondary School Mahottari,HSEB,044-520451,,,"Ramgopalapur,         ",Mahottari,Janakpur,"Ramgopalapur, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/mahendra-rastriya-higher-secondary-school-mahottari,Public,,,,,
Girija Higher Secondary School,HSEB,041-620276,,,"Phulgama, Bahiri, Dhanusha       ",Dhanusa,Janakpur,"Phulgama, Bahiri, Dhanusha  Dhanusa   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/girija-higher-secondary-school,Public,,,,,
S.N.R. Janata Higher Secondary School,HSEB,9744006062,,,"Dhabouli, Dhanusha       ",Dhanusa,Janakpur,"Dhabouli, Dhanusha  Dhanusa   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/snr-janata-higher-secondary-school,Public,,,,,
Durga Higher Secondary School Mahottari,HSEB,,,,"Manara,         ",Mahottari,Janakpur,"Manara, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/durga-higher-secondary-school-mahottari,Public,,,,,
Rastriya Higher Secondary School Mahottari,HSEB,044-691836,,,"Kantibazar,         ",Mahottari,Janakpur,"Kantibazar, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/rastriya-higher-secondary-school-mahottari,Public,,,,,
Shree Janata Higher Secondary School Mahottari,HSEB,044-690402,,,"Banauta,         ",Mahottari,Janakpur,"Banauta, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/shree-janata-higher-secondary-school,Public,,,,,
Prashad Singh Higher Secondary School,HSEB,,,,"Aurahi,        ",Mahottari,Janakpur,"Aurahi,Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/prashad-singh-higher-secondary-school,Public,,,,,
Ram Higher Secondary School Mahottari,HSEB,2043157,,,"Matihani,         ",Mahottari,Janakpur,"Matihani, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/ram-higher-secondary-school-mahottari,Public,,,,,
Ramdev Janata Higher Secondary School,HSEB,9844020976,,,"Bharamarpura,         ",Mahottari,Janakpur,"Bharamarpura, Mahottari  Mahottari   Janakpur",Ten Plus Two Humanities,http://edusanjal.com/college/ramdev-janata-higher-secondary-school,Public,,,,,
Panchadhura Higher Secondary School,HSEB,"044-690936,9841854277",,,"Cheru Maisthan,         ",Mahottari,Janakpur,"Cheru Maisthan, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/panchadhura-higher-secondary-school,Public,,,,,
Ramdaras Sarbodaya Higher Secondary School,HSEB,,,,        ,Mahottari,Janakpur,Mahottari  Mahottari   Janakpur,"Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/ramdaras-sarbodaya-higher-secondary-school,Public,,,,,
Jan Jagriti Higher Secondary School Mahottari,HSEB,9844027537,,,"Patu,         ",Mahottari,Janakpur,"Patu, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/jan-jagriti-higher-secondary-school,Public,,,,,
Shree Sonphi Dashain Higher Secondary School,HSEB,044-691586,,,"Shreepur 3,         ",Mahottari,Janakpur,"Shreepur 3, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/shree-sonphi-dashain-higher-secondary-school,Public,,,,,
Advanced Learner'S Himalayan English Awasiya Higher Secondary School,HSEB,044-520101,,,"Jaleshwar  ,         ",Mahottari,Janakpur,"Jaleshwar Mahottari, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/advanced-learners-himalayan-english-awasiya,Public,,,,,
Shankar Ra Higher Secondary School,HSEB,9814863715,,,"Megharoul,         ",Mahottari,Janakpur,"Megharoul, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shankar-ra-higher-secondary-school,Public,,,,,
Rambati Jagdev Janta Higher Secondary School,HSEB,9844020976,,,"Bagada,         ",Mahottari,Janakpur,"Bagada, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/rambati-jagdev-janta-higher-secondary-school,Public,,,,,
Adarsha Higher Secondary School Mahottari,HSEB,044-690654,,,"Ratauli,         ",Mahottari,Janakpur,"Ratauli, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/adarsha-higher-secondary-school-mahottari,Public,,,,,
Higher Secondary School Mahottari,HSEB,,,,"Hathilet,         ",Mahottari,Janakpur,"Hathilet, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/higher-secondary-school-mahottari,Public,,,,,
New Modern English Higher Secondary Boarding School,HSEB,9849088354,,,"Jaleshwar  ,         ",Mahottari,Janakpur,"Jaleshwar Mahottari, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/new-modern-english-higher-secondary-boarding-school,Public,,,,,
Saraswati Higher Secondary School Mahottari,HSEB,044-691518,,,"Tharuaahi,         ",Mahottari,Janakpur,"Tharuaahi, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/saraswati-higher-secondary-school-mahottari,Public,,,,,
Saraswati Janata Higher Secondary School,HSEB,9804858265,,,"Sonama Tarhari,         ",Mahottari,Janakpur,"Sonama Tarhari, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/saraswati-janata-higher-secondary-school,Public,,,,,
Bherukhi Higher Secondary School,HSEB,9804858265,,,"Loharpatti,         ",Mahottari,Janakpur,"Loharpatti, Mahottari  Mahottari   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/bherukhi-higher-secondary-school,Public,,,,,
Janata Higher Secondary School Mahottari,HSEB,9854024408,,,Dandatol Bijalpura        ,Mahottari,Janakpur,Dandatol Bijalpura   Mahottari   Janakpur,Ten Plus Two Education,http://edusanjal.com/college/janata-higher-secondary-school-mahottari,Public,,,,,
Chaturbhujeshwor Janata Higher Secondary School,HSEB,29018,,,Hariwan         ,Sarlahi,Janakpur,Hariwan Sarlahi  Sarlahi   Janakpur,"Ten Plus Two Science,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/chaturbhujeshwor-janata-higher-secondary-school,Public,,,,,
Chakra Janata Shahid Ganga Higher Secondary School,HSEB,20227,,,Barathawa         ,Sarlahi,Janakpur,Barathawa Sarlahi  Sarlahi   Janakpur,"Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/chakra-janata-shahid-ganga-higher-school,Public,,,,,
Deurali Higher Secondary School Mahottari,HSEB,044-691634,,,"Bardibas,         ",Mahottari,Janakpur,"Bardibas, Mahottari  Mahottari   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/deurali-higher-secondary-school-mahottari,Public,,,,,
Shukdev Higher Secondary School,HSEB,9844030760,,,"Suga,         ",Mahottari,Janakpur,"Suga, Mahottari  Mahottari   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/shukdev-higher-secondary-school,Public,,,,,
Mahendra Adarsha Mahila Higher Secondary School Mahottari,HSEB,,,,"Jaleshwar,         ",Mahottari,Janakpur,"Jaleshwar, Mahottari  Mahottari   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/mahendra-adarsha-mahila-higher-secondary-school-mahottari,Public,,,,,
Laxmi Chandi Murarka Higher Secondary School,HSEB,044-520088,,,"Jaleshwar,         ",Mahottari,Janakpur,"Jaleshwar, Mahottari  Mahottari   Janakpur","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/laxmi-chandi-murarka-higher-secondary-school,Public,,,,,
Padma Ratna Vidya Mandir Higher Secondary School,HSEB,20211,,,"Malangwa,         ",Sarlahi,Janakpur,"Malangwa, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/padma-ratna-vidya-mandir-higher-school,Public,,,,,
Mahabir Janata Higher Secondary School,HSEB,29600,,,"Haripur,         ",Sarlahi,Janakpur,"Haripur, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/mahabir-janata-higher-secondary-school,Public,,,,,
Janajyoti Higher Secondary School Sarlahi,HSEB,977-046-501079,Info.jjts@gmail.com,,Lalbandi       ,Sarlahi,Janakpur,Lalbandi  Sarlahi   Janakpur,"Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/janajyoti-higher-secondary-school-sarlahi,Public,,,,,
Narayan Higher Secondary School Sarlahi,HSEB,,,,"Bayalbas,         ",Sarlahi,Janakpur,"Bayalbas, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/narayan-higher-secondary-school-sarlahi,Public,,,,,
Janata Tejnarayan Dayabati Higher Secondary School,HSEB,046-690727,,,"Pakadi, Phenhara,         ",Sarlahi,Janakpur,"Pakadi, Phenhara, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/janata-tejnarayan-dayabati-higher-secondary-school,Public,,,,,
Shree Panch Mahendra Janata Higher Secondary School,HSEB,046-691737,,,"Karmaiya,         ",Sarlahi,Janakpur,"Karmaiya, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/shree-panch-mahendra-janata-higher-school,Public,,,,,
Ishwarpur Bela Higher Secondary School,HSEB,046-691789,,,"Ramnagar,         ",Sarlahi,Janakpur,"Ramnagar, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/ishwarpur-bela-higher-secondary-school,Public,,,,,
Madanpur Jamaniya Birnagara Higher Secondary School,HSEB,046-520078,,,        ,Sarlahi,Janakpur,Sarlahi  Sarlahi   Janakpur,"Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/madanpur-jamaniya-birnagara-higher-secondary-school,Public,,,,,
Janata Higher Secondary School Sarlahi,HSEB,046-620176,,,"Gadahiya Dumariya,         ",Sarlahi,Janakpur,"Gadahiya Dumariya, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/janata-higher-secondary-school-sarlahi,Public,,,,,
Sunrise Higher Secondary English Boarding School,HSEB,046-530032,,,"Harion,         ",Sarlahi,Janakpur,"Harion, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Management,http://edusanjal.com/college/sunrise-higher-secondary-english-boarding-school,Public,,,,,
Ram Sakhi Mohit Singh Janata Higher Secondary School,HSEB,29800,,,"Balara,         ",Sarlahi,Janakpur,"Balara, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/ram-sakhi-mohit-singh-janata-secondary-school,Public,,,,,
Beni Bhola Namuna Higher Secondary School,HSEB,,,,"Godaita,         ",Sarlahi,Janakpur,"Godaita, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/beni-bhola-namuna-higher-secondary-school,Public,,,,,
Mahadev Janata Higher Secondary School,HSEB,046-530050,,,"Hariwan,         ",Sarlahi,Janakpur,"Hariwan, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/mahadev-janata-higher-secondary-school,Public,,,,,
Durga Khobhari Janata Higher Secondary School,HSEB,9744002802,,,"Babargunj,         ",Sarlahi,Janakpur,"Babargunj, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/durga-khobhari-janata-higher-secondary-school,Public,,,,,
Narayan Janata Higher Secondary School,HSEB,046-530050,,,"Pattharkot,         ",Sarlahi,Janakpur,"Pattharkot, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/narayan-janata-higher-secondary-school,Public,,,,,
Mukteshwar Ganesh Ram Shakhi J Higher Secondary School,HSEB,9844034532,,,"Murtiya,         ",Sarlahi,Janakpur,"Murtiya, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/mukteshwar-ganesh-ram-shakhi-j-secondary-school,Public,,,,,
Gyanodaya Awasiya Higher Secondary School,HSEB,,,,"Malangwa,         ",Sarlahi,Janakpur,"Malangwa, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/gyanodaya-awasiya-higher-secondary-school,Public,,,,,
Malangawa Green Land English Boarding H S School,HSEB,,,,"Malangwa,         ",Sarlahi,Janakpur,"Malangwa, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/malangawa-green-land-english-boarding-h-s-school,Public,,,,,
Dim Janata Higher Secondary School,HSEB,,,,"Parwanipur,         ",Sarlahi,Janakpur,"Parwanipur, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/dim-janata-higher-secondary-school,Public,,,,,
Phaudasingh Higher Secondary School,HSEB,,,,"Raniganj,         ",Sarlahi,Janakpur,"Raniganj, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/phaudasingh-higher-secondary-school,Public,,,,,
Janta Higher Secondary School,HSEB,9744055761,,,"Shreenagar,         ",Sarlahi,Janakpur,"Shreenagar, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/janta-higher-secondary-school,Public,,,,,
Manakamana Boarding Higher Secondary School,HSEB,,,,"Harion,         ",Sarlahi,Janakpur,"Harion, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Management,http://edusanjal.com/college/manakamana-boarding-higher-secondary-school,Public,,,,,
N.R.B. Janta Higher Secondary School,HSEB,,,,"Sangrampur,         ",Sarlahi,Janakpur,"Sangrampur, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Management,http://edusanjal.com/college/nrb-janta-higher-secondary-school,Public,,,,,
Jaldhar Kamaldeu Higher Secondary School,HSEB,46690010,,,"Brahmapuri,         ",Sarlahi,Janakpur,"Brahmapuri, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/jaldhar-kamaldeu-higher-secondary-school,Public,,,,,
Gyankunj Boarding Higher Secondary School Sarlahi,HSEB,046-520622,,,"Malangwa,         ",Sarlahi,Janakpur,"Malangwa, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/gyankunj-boarding-higher-secondary-school,Public,,,,,
Mahendra Ratna Jagarnath Laxminiya Higher Secondary School,HSEB,046-540454,,,"Sitapur,         ",Sarlahi,Janakpur,"Sitapur, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/mahendra-ratna-jagarnath-laxminiya-higher-school,Public,,,,,
Education Home Higher Secondary School,HSEB,540409,,,"Barhathawa,         ",Sarlahi,Janakpur,"Barhathawa, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/education-home-higher-secondary-school,Public,,,,,
Debdhari Higher Secondary School,HSEB,9804854561,,,"Sundarpur  ,         ",Sarlahi,Janakpur,"Sundarpur Sarlahi, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/debdhari-higher-secondary-school,Public,,,,,
Srimati Krishna Devi Janata Higher Secondary School,HSEB,,,,"Bishnupur, Malangawa,         ",Sarlahi,Janakpur,"Bishnupur, Malangawa, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/srimati-krishna-devi-janata-higher-school,Public,,,,,
Janakidas Janata Higher Secondary School,HSEB,046-520048,,,"Hempur,         ",Sarlahi,Janakpur,"Hempur, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Education,http://edusanjal.com/college/janakidas-janata-higher-secondary-school,Public,,,,,
Everest Higher Secondary School,HSEB,046-501171,,,"Jabdi-8,         ",Sarlahi,Janakpur,"Jabdi-8, Sarlahi  Sarlahi   Janakpur",Ten Plus Two Management,http://edusanjal.com/college/everest-higher-secondary-school,Public,,,,,
Shree Sudha Rajeshwar Higher Secondary School,HSEB,9845021416,,,"Chhatauna-2,         ",Sarlahi,Janakpur,"Chhatauna-2, Sarlahi  Sarlahi   Janakpur","Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/shree-sudha-rajeshwar-higher-secondary-school,Public,,,,,
Nepal Rastriya Janata Higher Secondary School,HSEB,9744011857,,,Badripurghari         ,Sarlahi,Janakpur,Badripurghari Sarlahi  Sarlahi   Janakpur,Ten Plus Two Education,http://edusanjal.com/college/nepal-rastriya-janata-higher-secondary-school,Public,,,,,
Gaumati Higher Secondary School,HSEB,20136,,,Siddeshwar Madibazar       ,Sindhuli,Janakpur,Siddeshwar Madibazar  Sindhuli   Janakpur,"Ten Plus Two Education,Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/gaumati-higher-secondary-school,Public,,,,,
